resolution_time,name,configuration,mention_time
250,angular,Random-issues,NA
NA,angular,Random-issues,NA
0,angular,Random-issues,NA
1209,angular,Random-issues,NA
462,angular,Random-issues,NA
829,angular,Random-issues,NA
NA,angular,Random-issues,NA
1,angular,Random-issues,NA
531,angular,Random-issues,NA
12,angular,Random-issues,NA
423,angular,Random-issues,NA
0,angular,Random-issues,NA
NA,angular,Random-issues,NA
150,angular,Random-issues,NA
2,angular,Random-issues,NA
121,angular,Random-issues,NA
NA,angular,Random-issues,NA
2,angular,Random-issues,NA
15,angular,Random-issues,NA
14,angular,Random-issues,NA
173,angular,Random-issues,NA
935,angular,Random-issues,NA
36,angular,Random-issues,NA
0,angular,Random-issues,NA
76,angular,Random-issues,NA
0,angular,Random-issues,NA
0,angular,Random-issues,NA
8,angular,Random-issues,NA
3,angular,Random-issues,NA
33,angular,Random-issues,NA
1,angular,Random-issues,NA
2436,angular,Random-issues,NA
0,angular,Random-issues,NA
58,angular,Random-issues,NA
45,angular,Random-issues,NA
70,angular,Random-issues,NA
3,angular,Random-issues,NA
5,angular,Random-issues,NA
0,angular,Random-issues,NA
60,angular,Random-issues,NA
1610,angular,Random-issues,NA
266,angular,Random-issues,NA
27,angular,Random-issues,NA
97,angular,Random-issues,NA
406,angular,Random-issues,NA
35,angular,Random-issues,NA
NA,angular,Random-issues,NA
681,angular,Random-issues,NA
5823,angular,Random-issues,NA
20,angular,Random-issues,NA
NA,angular,Random-issues,NA
NA,angular,Random-issues,NA
20,angular,Random-issues,NA
4177,angular,Random-issues,NA
15,angular,Random-issues,NA
7,angular,Random-issues,NA
513,angular,Random-issues,NA
20,angular,Random-issues,NA
16319,angular,Random-issues,NA
75,angular,Random-issues,NA
6,angular,Random-issues,NA
2,angular,Random-issues,NA
397,angular,Random-issues,NA
265,angular,Random-issues,NA
234,angular,Random-issues,NA
610,angular,Random-issues,NA
162,angular,Random-issues,NA
29,angular,Random-issues,NA
1039,angular,Random-issues,NA
NA,angular,Random-issues,NA
1,angular,Random-issues,NA
NA,angular,Random-issues,NA
2286,angular,Random-issues,NA
11405,angular,Random-issues,NA
2251,angular,Random-issues,NA
2,angular,Random-issues,NA
120,angular,Random-issues,NA
579,angular,Random-issues,NA
11,angular,Random-issues,NA
8958,angular,Random-issues,NA
130,angular,Random-issues,NA
2,angular,Random-issues,NA
29,angular,Random-issues,NA
1892,angular,Random-issues,NA
23,angular,Random-issues,NA
43,angular,Random-issues,NA
107,angular,Random-issues,NA
166,angular,Random-issues,NA
601,angular,Random-issues,NA
2,angular,Random-issues,NA
5946,angular,Random-issues,NA
NA,angular,Random-issues,NA
2,angular,Random-issues,NA
6253,angular,Random-issues,NA
1,angular,Random-issues,NA
2,angular,Random-issues,NA
0,angular,Random-issues,NA
27,angular,Random-issues,NA
330,angular,Random-issues,NA
12,angular,Random-issues,NA
NA,angular,Random-issues,NA
4,angular,Random-issues,NA
3314,angular,Random-issues,NA
39,angular,Random-issues,NA
10,angular,Random-issues,NA
457,angular,Random-issues,NA
NA,angular,Random-issues,NA
691,angular,Random-issues,NA
21,angular,Random-issues,NA
NA,angular,Random-issues,NA
39,angular,Random-issues,NA
321,angular,Random-issues,NA
270,angular,Random-issues,NA
31,angular,Random-issues,NA
5059,angular,Random-issues,NA
3837,angular,Random-issues,NA
NA,angular,Random-issues,NA
2501,angular,Random-issues,NA
47,angular,Random-issues,NA
NA,angular,Random-issues,NA
1999,angular,Random-issues,NA
3,angular,Random-issues,NA
4,angular,Random-issues,NA
NA,angular,Random-issues,NA
0,angular,Random-issues,NA
7,angular,Random-issues,NA
NA,angular,Random-issues,NA
2924,angular,Random-issues,NA
4,angular,Random-issues,NA
6,angular,Random-issues,NA
36,angular,Random-issues,NA
NA,angular,Random-issues,NA
NA,angular,Random-issues,NA
45,angular,Random-issues,NA
NA,angular,Random-issues,NA
17920,angular,Random-issues,NA
26,angular,Random-issues,NA
1649,angular,Random-issues,NA
106,angular,Random-issues,NA
19,angular,Random-issues,NA
NA,angular,Random-issues,NA
6159,angular,Random-issues,NA
43,angular,Random-issues,NA
158,angular,Random-issues,NA
4702,angular,Random-issues,NA
0,angular,Random-issues,NA
67,angular,Random-issues,NA
NA,angular,Random-issues,NA
0,angular,Random-issues,NA
72,angular,Random-issues,NA
26,angular,Random-issues,NA
0,angular,Random-issues,NA
943,angular,Random-issues,NA
120,angular,Random-issues,NA
0,angular,Random-issues,NA
0,angular,Random-issues,NA
11402,angular,Random-issues,NA
23,angular,Random-issues,NA
1189,angular,Random-issues,NA
10,angular,Random-issues,NA
22,angular,Random-issues,NA
0,angular,Random-issues,NA
4,angular,Random-issues,NA
35,angular,Random-issues,NA
64,angular,Random-issues,NA
6,angular,Random-issues,NA
421,angular,Random-issues,NA
17,angular,Random-issues,NA
15,angular,Random-issues,NA
5,angular,Random-issues,NA
29,angular,Random-issues,NA
53,angular,Random-issues,NA
4,angular,Random-issues,NA
178,angular,Random-issues,NA
326,angular,Random-issues,NA
NA,angular,Random-issues,NA
0,angular,Random-issues,NA
NA,angular,Random-issues,NA
145,angular,Random-issues,NA
381,angular,Random-issues,NA
90,angular,Random-issues,NA
124,angular,Random-issues,NA
NA,angular,Random-issues,NA
5579,angular,Random-issues,NA
824,angular,Random-issues,NA
93,angular,Random-issues,NA
11,angular,Random-issues,NA
7,angular,Random-issues,NA
3,angular,Random-issues,NA
41,angular,Random-issues,NA
3,angular,Random-issues,NA
1534,angular,Random-issues,NA
22,angular,Random-issues,NA
5,angular,Random-issues,NA
NA,angular,Random-issues,NA
292,angular,Random-issues,NA
186,angular,Random-issues,NA
0,angular,Random-issues,NA
24,angular,Random-issues,NA
1152,angular,Random-issues,NA
NA,angular,Random-issues,NA
17781,angular,Random-issues,NA
102,angular,Random-issues,NA
27,angular,Random-issues,NA
203,angular,Random-issues,NA
3,angular,Random-issues,NA
2022,angular,Random-issues,NA
18,angular,Random-issues,NA
643,angular,Random-issues,NA
7178,angular,Random-issues,NA
3,angular,Random-issues,NA
NA,angular,Random-issues,NA
7,angular,Random-issues,NA
4006,angular,Random-issues,NA
5724,angular,Random-issues,NA
208,angular,Random-issues,NA
2571,angular,Random-issues,NA
2,angular,Random-issues,NA
291,angular,Random-issues,NA
0,angular,Random-issues,NA
80,angular,Random-issues,NA
2,angular,Random-issues,NA
0,angular,Random-issues,NA
36,angular,Random-issues,NA
0,angular,Random-issues,NA
104,angular,Random-issues,NA
495,angular,Random-issues,NA
8,angular,Random-issues,NA
7,angular,Random-issues,NA
0,angular,Random-issues,NA
13927,angular,Random-issues,NA
22,angular,Random-issues,NA
40,angular,Random-issues,NA
27,angular,Random-issues,NA
482,angular,Random-issues,NA
NA,angular,Random-issues,NA
3676,angular,Random-issues,NA
23,angular,Random-issues,NA
2864,angular,Random-issues,NA
13,angular,Random-issues,NA
18,angular,Random-issues,NA
1,angular,Random-issues,NA
489,angular,Random-issues,NA
237,angular,Random-issues,NA
10,angular,Random-issues,NA
274,angular,Random-issues,NA
162,angular,Random-issues,NA
8641,angular,Random-issues,NA
717,angular,Random-issues,NA
1,angular,Random-issues,NA
19,angular,Random-issues,NA
290,angular,Random-issues,NA
221,angular,Random-issues,NA
17,angular,Random-issues,NA
8468,angular,Random-issues,NA
8,angular,Random-issues,NA
468,angular,Random-issues,NA
1498,angular,Random-issues,NA
1,angular,Random-issues,NA
3168,angular,Random-issues,NA
47,angular,Random-issues,NA
15903,angular,Random-issues,NA
21,angular,Random-issues,NA
1603,angular,Random-issues,NA
41,angular,Random-issues,NA
20,angular,Random-issues,NA
12,angular,Random-issues,NA
9,angular,Random-issues,NA
1650,angular,Random-issues,NA
4,angular,Random-issues,NA
41,angular,Random-issues,NA
5,angular,Random-issues,NA
221,angular,Random-issues,NA
0,angular,Random-issues,NA
NA,angular,Random-issues,NA
145,angular,Random-issues,NA
NA,angular,Random-issues,NA
1177,angular,Random-issues,NA
NA,angular,Random-issues,NA
1305,angular,Random-issues,NA
887,angular,Random-issues,NA
1534,angular,Random-issues,NA
1718,angular,Random-issues,NA
NA,angular,Random-issues,NA
42,angular,Random-issues,NA
469,angular,Random-issues,NA
6845,angular,Random-issues,NA
1,angular,Random-issues,NA
6,angular,Random-issues,NA
167,angular,Random-issues,NA
375,angular,Random-issues,NA
14,angular,Random-issues,NA
359,angular,Random-issues,NA
1054,angular,Random-issues,NA
9,angular,Random-issues,NA
1080,angular,Random-issues,NA
1,angular,Random-issues,NA
890,angular,Random-issues,NA
9,angular,Random-issues,NA
550,angular,Random-issues,NA
NA,angular,Random-issues,NA
NA,angular,Random-issues,NA
6345,angular,Random-issues,NA
NA,angular,Random-issues,NA
NA,angular,Random-issues,NA
2957,angular,Random-issues,NA
0,angular,Random-issues,NA
530,angular,Random-issues,NA
391,angular,Random-issues,NA
4413,angular,Random-issues,NA
39,angular,Random-issues,NA
10920,angular,Random-issues,NA
509,angular,Random-issues,NA
879,angular,Random-issues,NA
456,angular,Random-issues,NA
NA,angular,Random-issues,NA
19,angular,Random-issues,NA
0,angular,Random-issues,NA
14,angular,Random-issues,NA
NA,angular,Random-issues,NA
41,angular,Random-issues,NA
2,angular,Random-issues,NA
4402,angular,Random-issues,NA
12191,angular,Random-issues,NA
53,angular,Random-issues,NA
NA,angular,Random-issues,NA
56,angular,Random-issues,NA
NA,angular,Random-issues,NA
10,angular,Random-issues,NA
144,angular,Random-issues,NA
2,angular,Random-issues,NA
142,angular,Random-issues,NA
1,angular,Random-issues,NA
5,angular,Random-issues,NA
1039,angular,Random-issues,NA
265,angular,Random-issues,NA
5,angular,Random-issues,NA
80,angular,Random-issues,NA
3,angular,Random-issues,NA
0,angular,Random-issues,NA
194,angular,Random-issues,NA
NA,angular,Random-issues,NA
32,angular,Random-issues,NA
889,angular,Random-issues,NA
94,angular,Random-issues,NA
548,angular,Random-issues,NA
76,angular,Random-issues,NA
4506,angular,Random-issues,NA
2,angular,Random-issues,NA
195,angular,Random-issues,NA
14,angular,Random-issues,NA
0,angular,Random-issues,NA
27,angular,Random-issues,NA
745,angular,Random-issues,NA
1,angular,Random-issues,NA
5,angular,Random-issues,NA
12,angular,Random-issues,NA
45,angular,Random-issues,NA
3548,angular,Random-issues,NA
33,angular,Random-issues,NA
NA,angular,Random-issues,NA
2,angular,Random-issues,NA
13,angular,Random-issues,NA
1,angular,Random-issues,NA
6481,angular,Random-issues,NA
519,angular,Random-issues,NA
10,angular,Random-issues,NA
7,angular,Random-issues,NA
23,angular,Random-issues,NA
2,angular,Random-issues,NA
12,angular,Random-issues,NA
79,angular,Random-issues,NA
2383,angular,Random-issues,NA
22,angular,Random-issues,NA
552,angular,Random-issues,NA
137,angular,Random-issues,NA
NA,angular,Random-issues,NA
NA,angular,Random-issues,NA
NA,angular,Random-issues,NA
NA,angular,Random-issues,NA
71,angular,Random-issues,NA
NA,angular,Random-issues,NA
5502,angular,Random-issues,NA
26,angular,Random-issues,NA
8345,angular,Random-issues,NA
6,angular,Random-issues,NA
1,angular,Random-issues,NA
NA,angular,Random-issues,NA
NA,angular,Random-issues,NA
2,angular,Random-issues,NA
NA,angular,Random-issues,NA
1,angular,Random-issues,NA
22,angular,Random-issues,NA
39,angular,Random-issues,NA
867,angular,Random-issues,NA
0,angular,Random-issues,NA
9,angular,Random-issues,NA
NA,angular,Random-issues,NA
3698,angular,Random-issues,NA
1,angular,Random-issues,NA
1,angular,Random-issues,NA
21,angular,Random-issues,NA
76,angular,Random-issues,NA
2313,angular,Random-issues,NA
6,angular,Random-issues,NA
417,angular,Random-issues,NA
121,angular,Random-issues,NA
314,angular,Random-issues,NA
27,angular,Random-issues,NA
1,angular,Random-issues,NA
NA,angular,Random-issues,NA
49,angular,Random-issues,NA
7,angular,Random-issues,NA
0,angular,Random-issues,NA
NA,angular,Random-issues,NA
1,angular,Random-issues,NA
1,angular,Random-issues,NA
171,angular,Random-issues,NA
29,angular,Random-issues,NA
1,angular,Random-issues,NA
4,angular,Random-issues,NA
2,angular,Random-issues,NA
47,angular,Random-issues,NA
5,angular,Random-issues,NA
9,angular,Random-issues,NA
1301,angular,Random-issues,NA
48,angular,Random-issues,NA
1,angular,Random-issues,NA
10184,angular,Random-issues,NA
12,angular,Random-issues,NA
24,angular,Random-issues,NA
309,angular,Random-issues,NA
638,angular,Random-issues,NA
NA,angular,Random-issues,NA
1,angular,Random-issues,NA
2,angular,Random-issues,NA
651,angular,Random-issues,NA
105,angular,Random-issues,NA
108,angular,Random-issues,NA
754,angular,Random-issues,NA
58,angular,Random-issues,NA
6,angular,Random-issues,NA
4,angular,Random-issues,NA
326,angular,Random-issues,NA
288,angular,Random-issues,NA
109,angular,Random-issues,NA
23,angular,Random-issues,NA
68,angular,Random-issues,NA
10,angular,Random-issues,NA
1227,angular,Random-issues,NA
31,angular,Random-issues,NA
NA,angular,Random-issues,NA
369,angular,Random-issues,NA
48,angular,Random-issues,NA
115,angular,Random-issues,NA
27,angular,Random-issues,NA
5,angular,Random-issues,NA
352,angular,Random-issues,NA
14,angular,Random-issues,NA
17,angular,Random-issues,NA
1,angular,Random-issues,NA
1,angular,Random-issues,NA
179,angular,Random-issues,NA
124,angular,Random-issues,NA
821,angular,Random-issues,NA
31,angular,Random-issues,NA
62,angular,Random-issues,NA
254,angular,Random-issues,NA
19,angular,Random-issues,NA
22,angular,Random-issues,NA
1,angular,Random-issues,NA
47,angular,Random-issues,NA
97,angular,Random-issues,NA
3,angular,Random-issues,NA
22,angular,Random-issues,NA
91,angular,Random-issues,NA
4060,angular,Random-issues,NA
999,angular,Random-issues,NA
4235,angular,Random-issues,NA
4,angular,Random-issues,NA
NA,angular,Random-issues,NA
46,angular,Random-issues,NA
NA,angular,Random-issues,NA
NA,angular,Random-issues,NA
7299,angular,Random-issues,NA
0,angular,Random-issues,NA
50,angular,Random-issues,NA
1227,angular,Random-issues,NA
4,angular,Random-issues,NA
651,angular,Random-issues,NA
0,angular,Random-issues,NA
66,angular,Random-issues,NA
NA,angular,Random-issues,NA
1,angular,Random-issues,NA
NA,angular,Random-issues,NA
107,angular,Random-issues,NA
12838,angular,Random-issues,NA
8,angular,Random-issues,NA
46,angular,Random-issues,NA
NA,angular,Random-issues,NA
3138,angular,Random-issues,NA
2359,angular,Random-issues,NA
13,angular,Random-issues,NA
255,angular,Random-issues,NA
17,angular,Random-issues,NA
312,angular,Random-issues,NA
53,angular,Random-issues,NA
NA,angular,Random-issues,NA
NA,angular,Random-issues,NA
NA,angular,Random-issues,NA
1846,angular,Random-issues,NA
2611,angular,Random-issues,NA
662,angular,Random-issues,NA
2,angular,Random-issues,NA
8,angular,Random-issues,NA
2,angular,Random-issues,NA
3541,angular,Random-issues,NA
143,angular,Random-issues,NA
1335,angular,Random-issues,NA
3381,angular,Random-issues,NA
0,angular,Random-issues,NA
208,angular,Random-issues,NA
0,angular,Random-issues,NA
5,angular,Random-issues,NA
2,angular,Random-issues,NA
164,angular,Random-issues,NA
879,angular,Random-issues,NA
0,angular,Random-issues,NA
1,angular,Random-issues,NA
5033,angular,Random-issues,NA
46,angular,Random-issues,NA
NA,angular,Random-issues,NA
NA,angular,Random-issues,NA
4520,angular,Random-issues,NA
42,angular,Random-issues,NA
1421,angular,Random-issues,NA
5,angular,Random-issues,NA
2,angular,Random-issues,NA
8,angular,Random-issues,NA
4713,angular,Random-issues,NA
45,angular,Random-issues,NA
NA,angular,Random-issues,NA
91,angular,Random-issues,NA
0,angular,Random-issues,NA
NA,angular,Random-issues,NA
97,angular,Random-issues,NA
77,angular,Random-issues,NA
34,angular,Random-issues,NA
0,angular,Random-issues,NA
41,angular,Random-issues,NA
NA,angular,Random-issues,NA
183,angular,Random-issues,NA
23,angular,Random-issues,NA
65,angular,Random-issues,NA
10,angular,Random-issues,NA
0,angular,Random-issues,NA
961,angular,Random-issues,NA
175,angular,Random-issues,NA
29,angular,Random-issues,NA
4,angular,Random-issues,NA
10,angular,Random-issues,NA
0,angular,Random-issues,NA
143,angular,Random-issues,NA
1,angular,Random-issues,NA
5,angular,Random-issues,NA
36,angular,Random-issues,NA
4,angular,Random-issues,NA
6665,angular,Random-issues,NA
4,angular,Random-issues,NA
55,angular,Random-issues,NA
111,angular,Random-issues,NA
92,angular,Random-issues,NA
2,angular,Random-issues,NA
NA,angular,Random-issues,NA
448,angular,Random-issues,NA
98,angular,Random-issues,NA
1,angular,Random-issues,NA
31,angular,Random-issues,NA
NA,angular,Random-issues,NA
224,angular,Random-issues,NA
1492,angular,Random-issues,NA
128,angular,Random-issues,NA
4,angular,Random-issues,NA
2,angular,Random-issues,NA
959,angular,Random-issues,NA
NA,angular,Random-issues,NA
141,angular,Random-issues,NA
79,angular,Random-issues,NA
59,angular,Random-issues,NA
7,angular,Random-issues,NA
44,angular,Random-issues,NA
863,angular,Random-issues,NA
4,angular,Random-issues,NA
6,angular,Random-issues,NA
5,angular,Random-issues,NA
741,angular,Random-issues,NA
1,angular,Random-issues,NA
1,angular,Random-issues,NA
18,angular,Random-issues,NA
NA,angular,Random-issues,NA
3,angular,Random-issues,NA
21,angular,Random-issues,NA
1,angular,Random-issues,NA
215,angular,Random-issues,NA
20,angular,Random-issues,NA
255,angular,Random-issues,NA
32,angular,Random-issues,NA
2,angular,Random-issues,NA
25,angular,Random-issues,NA
1,angular,Random-issues,NA
2,angular,Random-issues,NA
547,angular,Random-issues,NA
6016,angular,Random-issues,NA
15444,angular,Random-issues,NA
1,angular,Random-issues,NA
10316,angular,Random-issues,NA
22,angular,Random-issues,NA
612,angular,Random-issues,NA
2738,angular,Random-issues,NA
0,angular,Random-issues,NA
97,angular,Random-issues,NA
3126,angular,Random-issues,NA
35,angular,Random-issues,NA
1220,angular,Random-issues,NA
11109,angular,Random-issues,NA
417,angular,Random-issues,NA
NA,angular,Random-issues,NA
15,angular,Random-issues,NA
11,angular,Random-issues,NA
13,angular,Random-issues,NA
5531,angular,Random-issues,NA
7,angular,Random-issues,NA
0,angular,Random-issues,NA
4,angular,Random-issues,NA
67,angular,Random-issues,NA
53,angular,Random-issues,NA
3,angular,Random-issues,NA
7,angular,Random-issues,NA
6647,angular,Random-issues,NA
44,angular,Random-issues,NA
212,angular,Random-issues,NA
10,angular,Random-issues,NA
9,angular,Random-issues,NA
2290,angular,Random-issues,NA
185,angular,Random-issues,NA
10,angular,Random-issues,NA
2777,angular,Random-issues,NA
1978,angular,Random-issues,NA
37,angular,Random-issues,NA
1828,angular,Random-issues,NA
44,angular,Random-issues,NA
1,angular,Random-issues,NA
0,angular,Random-issues,NA
2315,angular,Random-issues,NA
975,angular,Random-issues,NA
33,angular,Random-issues,NA
911,angular,Random-issues,NA
1,angular,Random-issues,NA
28,angular,Random-issues,NA
43,angular,Random-issues,NA
3154,angular,Random-issues,NA
24,angular,Random-issues,NA
19,angular,Random-issues,NA
679,angular,Random-issues,NA
2,angular,Random-issues,NA
479,angular,Random-issues,NA
1,angular,Random-issues,NA
1,angular,Random-issues,NA
162,angular,Random-issues,NA
NA,angular,Random-issues,NA
42,angular,Random-issues,NA
2143,angular,Random-issues,NA
NA,angular,Random-issues,NA
1319,angular,Random-issues,NA
16,angular,Random-issues,NA
4,angular,Random-issues,NA
168,angular,Random-issues,NA
6656,angular,Random-issues,NA
1,angular,Random-issues,NA
15,angular,Random-issues,NA
0,angular,Random-issues,NA
NA,angular,Random-issues,NA
2,angular,Random-issues,NA
495,angular,Random-issues,NA
77,angular,Random-issues,NA
76,angular,Random-issues,NA
802,angular,Random-issues,NA
NA,angular,Random-issues,NA
79,angular,Random-issues,NA
1,angular,Random-issues,NA
0,angular,Random-issues,NA
26,angular,Random-issues,NA
267,angular,Random-issues,NA
5024,angular,Random-issues,NA
6,angular,Random-issues,NA
1,angular,Random-issues,NA
14,angular,Random-issues,NA
24,angular,Random-issues,NA
6861,angular,Random-issues,NA
43,angular,Random-issues,NA
1,angular,Random-issues,NA
135,angular,Random-issues,NA
588,angular,Random-issues,NA
1,angular,Random-issues,NA
295,angular,Random-issues,NA
23,angular,Random-issues,NA
4,angular,Random-issues,NA
44,angular,Random-issues,NA
3781,angular,Random-issues,NA
44,angular,Random-issues,NA
1535,angular,Random-issues,NA
NA,angular,Random-issues,NA
NA,angular,Random-issues,NA
4,angular,Random-issues,NA
15,angular,Random-issues,NA
89,angular,Random-issues,NA
16,angular,Random-issues,NA
18,angular,Random-issues,NA
1,angular,Random-issues,NA
34,angular,Random-issues,NA
907,angular,Random-issues,NA
119,angular,Random-issues,NA
35,angular,Random-issues,NA
53,angular,Random-issues,NA
435,angular,Random-issues,NA
0,angular,Random-issues,NA
24,angular,Random-issues,NA
919,angular,Random-issues,NA
3,angular,Random-issues,NA
2,angular,Random-issues,NA
2,angular,Random-issues,NA
335,angular,Random-issues,NA
75,angular,Random-issues,NA
24,angular,Random-issues,NA
22,angular,Random-issues,NA
48,angular,Random-issues,NA
197,angular,Random-issues,NA
NA,angular,Random-issues,NA
239,angular,Random-issues,NA
11,angular,Random-issues,NA
24,angular,Random-issues,NA
35,angular,Random-issues,NA
NA,angular,Random-issues,NA
31,angular,Random-issues,NA
229,angular,Random-issues,NA
24,angular,Random-issues,NA
76,angular,Random-issues,NA
497,angular,Random-issues,NA
1785,angular,Random-issues,NA
0,angular,Random-issues,NA
NA,angular,Random-issues,NA
80,angular,Random-issues,NA
179,angular,Random-issues,NA
14885,angular,Random-issues,NA
3,angular,Random-issues,NA
6571,angular,Random-issues,NA
0,angular,Random-issues,NA
3772,angular,Random-issues,NA
9600,angular,Random-issues,NA
3303,angular,Random-issues,NA
NA,angular,Random-issues,NA
82,angular,Random-issues,NA
1,angular,Random-issues,NA
505,angular,Random-issues,NA
1765,angular,Random-issues,NA
268,angular,Random-issues,NA
56,angular,Random-issues,NA
57,angular,Random-issues,NA
9,angular,Random-issues,NA
0,angular,Random-issues,NA
20,angular,Random-issues,NA
1,angular,Random-issues,NA
67,angular,Random-issues,NA
1,angular,Random-issues,NA
NA,angular,Random-issues,NA
41,angular,Random-issues,NA
0,angular,Random-issues,NA
22,angular,Random-issues,NA
92,angular,Random-issues,NA
13,angular,Random-issues,NA
4172,angular,Random-issues,NA
4,angular,Random-issues,NA
12194,angular,Random-issues,NA
2,angular,Random-issues,NA
44,angular,Random-issues,NA
3908,angular,Random-issues,NA
1494,angular,Random-issues,NA
21,angular,Random-issues,NA
819,angular,Random-issues,NA
70,angular,Random-issues,NA
5398,angular,Random-issues,NA
28,angular,Random-issues,NA
5961,angular,Random-issues,NA
9050,angular,Random-issues,NA
0,angular,Random-issues,NA
63,angular,Random-issues,NA
1039,angular,Random-issues,NA
19,angular,Random-issues,NA
164,angular,Random-issues,NA
18,angular,Random-issues,NA
0,angular,Random-issues,NA
1,angular,Random-issues,NA
19,angular,Random-issues,NA
124,angular,Random-issues,NA
7,angular,Random-issues,NA
8,angular,Random-issues,NA
NA,angular,Random-issues,NA
NA,angular,Random-issues,NA
1,angular,Random-issues,NA
105,angular,Random-issues,NA
902,angular,Random-issues,NA
4,angular,Random-issues,NA
97,angular,Random-issues,NA
3,angular,Random-issues,NA
1,angular,Random-issues,NA
41,angular,Random-issues,NA
162,angular,Random-issues,NA
129,angular,Random-issues,NA
1185,angular,Random-issues,NA
393,angular,Random-issues,NA
3430,angular,Random-issues,NA
106,angular,Random-issues,NA
6142,angular,Random-issues,NA
660,angular,Random-issues,NA
NA,angular,Random-issues,NA
1059,angular,Random-issues,NA
NA,angular,Random-issues,NA
24,angular,Random-issues,NA
1779,angular,Random-issues,NA
3,angular,Random-issues,NA
1,angular,Random-issues,NA
259,angular,Random-issues,NA
1038,angular,Random-issues,NA
1461,angular,Random-issues,NA
446,angular,Random-issues,NA
16,angular,Random-issues,NA
1,angular,Random-issues,NA
73,angular,Random-issues,NA
142,angular,Random-issues,NA
28,angular,Random-issues,NA
60,angular,Random-issues,NA
24,angular,Random-issues,NA
1059,angular,Random-issues,NA
NA,angular,Random-issues,NA
2,angular,Random-issues,NA
119,angular,Random-issues,NA
319,angular,Random-issues,NA
0,angular,Random-issues,NA
NA,angular,Random-issues,NA
1,angular,Random-issues,NA
7,angular,Random-issues,NA
20,angular,Random-issues,NA
25,angular,Random-issues,NA
84,angular,Random-issues,NA
NA,angular,Random-issues,NA
39,angular,Random-issues,NA
NA,angular,Random-issues,NA
18,angular,Random-issues,NA
9,angular,Random-issues,NA
322,angular,Random-issues,NA
24,angular,Random-issues,NA
172,angular,Random-issues,NA
89,angular,Random-issues,NA
5,angular,Random-issues,NA
1,angular,Random-issues,NA
1,angular,Random-issues,NA
74,angular,Random-issues,NA
18,angular,Random-issues,NA
2,angular,Random-issues,NA
858,angular,Random-issues,NA
110,angular,Random-issues,NA
6,angular,Random-issues,NA
123,angular,Random-issues,NA
NA,angular,Random-issues,NA
6,angular,Random-issues,NA
NA,angular,Random-issues,NA
115,angular,Random-issues,NA
NA,angular,Random-issues,NA
118,angular,Random-issues,NA
3840,angular,Random-issues,NA
2,angular,Random-issues,NA
312,angular,Random-issues,NA
121,angular,Random-issues,NA
21,angular,Random-issues,NA
775,angular,Random-issues,NA
739,angular,Random-issues,NA
0,angular,Random-issues,NA
171,angular,Random-issues,NA
0,angular,Random-issues,NA
35,angular,Random-issues,NA
10,angular,Random-issues,NA
1,angular,Random-issues,NA
161,angular,Random-issues,NA
8,angular,Random-issues,NA
4350,angular,Random-issues,NA
29,angular,Random-issues,NA
1,angular,Random-issues,NA
1,angular,Random-issues,NA
267,angular,Random-issues,NA
2,angular,Random-issues,NA
5117,angular,Random-issues,NA
19,angular,Random-issues,NA
407,angular,Random-issues,NA
214,angular,Random-issues,NA
4,angular,Random-issues,NA
127,angular,Random-issues,NA
1,angular,Random-issues,NA
715,angular,Random-issues,NA
198,angular,Random-issues,NA
1,angular,Random-issues,NA
650,angular,Random-issues,NA
0,angular,Random-issues,NA
4039,angular,Random-issues,NA
NA,angular,Random-issues,NA
0,angular,Random-issues,NA
4,angular,Random-issues,NA
1,angular,Random-issues,NA
55,angular,Random-issues,NA
2,angular,Random-issues,NA
37,angular,Random-issues,NA
10,angular,Random-issues,NA
2,angular,Random-issues,NA
27,angular,Random-issues,NA
97,angular,Random-issues,NA
1,angular,Random-issues,NA
7,angular,Random-issues,NA
38,angular,Random-issues,NA
377,angular,Random-issues,NA
409,angular,Random-issues,NA
1822,angular,Random-issues,NA
2686,angular,Random-issues,NA
1362,angular,Random-issues,NA
64,angular,Random-issues,NA
4,angular,Random-issues,NA
11,angular,Random-issues,NA
172,angular,Random-issues,NA
125,angular,Random-issues,NA
51,angular,Random-issues,NA
2,angular,Random-issues,NA
34,angular,Random-issues,NA
73,angular,Random-issues,NA
29,angular,Random-issues,NA
17155,angular,Random-issues,NA
4049,angular,Random-issues,NA
1431,angular,Random-issues,NA
49,angular,Random-issues,NA
4,angular,Random-issues,NA
16,angular,Random-issues,NA
NA,angular,Random-issues,NA
286,angular,Random-issues,NA
93,angular,Random-issues,NA
2,angular,Random-issues,NA
223,angular,Random-issues,NA
1164,angular,Random-issues,NA
4432,angular,Random-issues,NA
0,angular,Random-issues,NA
261,angular,Random-issues,NA
20,angular,Random-issues,NA
9,angular,Random-issues,NA
6854,angular,Random-issues,NA
1,angular,Random-issues,NA
1346,angular,Random-issues,NA
0,angular,Random-issues,NA
952,angular,Random-issues,NA
25,angular,Random-issues,NA
56,angular,Random-issues,NA
2,angular,Random-issues,NA
97,angular,Random-issues,NA
75,angular,Random-issues,NA
163,angular,Random-issues,NA
154,angular,Random-issues,NA
67,angular,Random-issues,NA
422,angular,Random-issues,NA
80,angular,Random-issues,NA
21,angular,Random-issues,NA
0,angular,Random-issues,NA
3,angular,Random-issues,NA
5,angular,Random-issues,NA
NA,angular,Random-issues,NA
NA,angular,Random-issues,NA
55,angular,Random-issues,NA
