"","resolution_time","name","configuration"
"104",8,"amber","Random"
"105",1,"amber","Random"
"106",33,"amber","Random"
"107",30,"amber","Random"
"108",16,"amber","Random"
"109",276,"amber","Random"
"110",5,"amber","Random"
"111",1,"amber","Random"
"112",28,"amber","Random"
"113",0,"amber","Random"
"114",392,"amber","Random"
"115",7,"amber","Random"
"116",97,"amber","Random"
"117",26,"amber","Random"
"118",9,"amber","Random"
"119",313,"amber","Random"
"120",192,"amber","Random"
"121",42,"amber","Random"
"122",48,"amber","Random"
"123",11,"amber","Random"
"124",289,"amber","Random"
"125",349,"amber","Random"
"126",158,"amber","Random"
"127",67,"amber","Random"
"128",1,"amber","Random"
"129",2099,"amber","Random"
"130",1011,"amber","Random"
"131",36,"amber","Random"
"132",8,"amber","Random"
"133",129,"amber","Random"
"134",665,"amber","Random"
"135",802,"amber","Random"
"136",68,"amber","Random"
"137",0,"amber","Random"
"138",0,"amber","Random"
"139",103,"amber","Random"
"140",34,"amber","Random"
"141",22,"amber","Random"
"142",11,"amber","Random"
"143",4567,"amber","Random"
"144",19,"amber","Random"
"145",8,"amber","Random"
"146",23,"amber","Random"
"147",11,"amber","Random"
"148",86,"amber","Random"
"149",81,"amber","Random"
"150",7848,"amber","Random"
"151",1019,"amber","Random"
"152",110,"amber","Random"
"153",3117,"amber","Random"
"154",32,"amber","Random"
"155",1773,"amber","Random"
"156",14,"amber","Random"
"157",242,"amber","Random"
"158",3701,"amber","Random"
"159",243,"amber","Random"
"160",27,"amber","Random"
"161",280,"amber","Random"
"162",48,"amber","Random"
"163",8,"amber","Random"
"164",5570,"amber","Random"
"165",3,"amber","Random"
"166",7,"amber","Random"
"167",4474,"amber","Random"
"168",124,"amber","Random"
"169",603,"amber","Random"
"170",5,"amber","Random"
"171",293,"amber","Random"
"172",571,"amber","Random"
"173",119,"amber","Random"
"174",43,"amber","Random"
"175",45,"amber","Random"
"176",1,"amber","Random"
"177",24,"amber","Random"
"178",19,"amber","Random"
"179",51,"amber","Random"
"180",4108,"amber","Random"
"181",363,"amber","Random"
"182",123,"amber","Random"
"183",17,"amber","Random"
"184",371,"amber","Random"
"185",4,"amber","Random"
"186",225,"amber","Random"
"187",5044,"amber","Random"
"188",2,"amber","Random"
"189",2,"amber","Random"
"190",7,"amber","Random"
"191",4,"amber","Random"
"192",69,"amber","Random"
"193",11,"amber","Random"
"194",251,"amber","Random"
"195",17,"amber","Random"
"196",2734,"amber","Random"
"197",104,"amber","Random"
"198",42,"amber","Random"
"199",182,"amber","Random"
"200",0,"amber","Random"
"201",170,"amber","Random"
"202",2,"amber","Random"
"203",93,"amber","Random"
"204",97,"amber","Random"
"205",91,"amber","Random"
"206",7,"amber","Random"
"207",2653,"amber","Random"
"208",238,"amber","Random"
"209",66,"amber","Random"
"210",167,"amber","Random"
"211",0,"amber","Random"
"212",24,"amber","Random"
"213",97,"amber","Random"
"214",58,"amber","Random"
"215",153,"amber","Random"
"216",14,"amber","Random"
"217",8492,"amber","Random"
"218",1403,"amber","Random"
"219",1439,"amber","Random"
"220",0,"amber","Random"
"221",6,"amber","Random"
"222",493,"amber","Random"
"223",6,"amber","Random"
"224",280,"amber","Random"
"225",6,"amber","Random"
"226",2,"amber","Random"
"227",396,"amber","Random"
"228",33,"amber","Random"
"229",15,"amber","Random"
"230",49,"amber","Random"
"231",55,"amber","Random"
"232",23,"amber","Random"
"233",52,"amber","Random"
"234",62,"amber","Random"
"235",151,"amber","Random"
"236",1,"amber","Random"
"237",32,"amber","Random"
"238",5,"amber","Random"
"239",14,"amber","Random"
"240",16,"amber","Random"
"241",60,"amber","Random"
"242",5,"amber","Random"
"243",8,"amber","Random"
"244",1274,"amber","Random"
"245",3,"amber","Random"
"246",24,"amber","Random"
"247",563,"amber","Random"
"248",0,"amber","Random"
"249",30,"amber","Random"
"250",1,"amber","Random"
"251",1650,"amber","Random"
"252",163,"angular","Random"
"253",10,"angular","Random"
"254",9,"angular","Random"
"255",23,"angular","Random"
"256",246,"angular","Random"
"257",3694,"angular","Random"
"258",20,"angular","Random"
"259",NA,"angular","Random"
"260",3,"angular","Random"
"261",112,"angular","Random"
"262",10,"angular","Random"
"263",1739,"angular","Random"
"264",1,"angular","Random"
"265",840,"angular","Random"
"266",694,"angular","Random"
"267",110,"angular","Random"
"268",40,"angular","Random"
"269",6,"angular","Random"
"270",4050,"angular","Random"
"271",143,"angular","Random"
"272",15,"angular","Random"
"273",2,"angular","Random"
"274",24,"angular","Random"
"275",2,"angular","Random"
"276",6085,"angular","Random"
"277",6,"angular","Random"
"278",63,"angular","Random"
"279",25,"angular","Random"
"280",242,"angular","Random"
"281",27,"angular","Random"
"282",1612,"angular","Random"
"283",8,"angular","Random"
"284",930,"angular","Random"
"285",2,"angular","Random"
"286",157,"angular","Random"
"287",0,"angular","Random"
"288",2,"angular","Random"
"289",24,"angular","Random"
"290",31,"angular","Random"
"291",127,"angular","Random"
"292",1,"angular","Random"
"293",9,"angular","Random"
"294",0,"angular","Random"
"295",44,"angular","Random"
"296",3,"angular","Random"
"297",16,"angular","Random"
"298",4857,"angular","Random"
"299",NA,"angular","Random"
"300",1211,"angular","Random"
"301",7,"angular","Random"
"302",2,"angular","Random"
"303",NA,"angular","Random"
"304",NA,"angular","Random"
"305",1377,"angular","Random"
"306",545,"angular","Random"
"307",141,"angular","Random"
"308",2,"angular","Random"
"309",22,"angular","Random"
"310",69,"angular","Random"
"311",NA,"angular","Random"
"312",1825,"angular","Random"
"313",218,"angular","Random"
"314",152,"angular","Random"
"315",32,"angular","Random"
"316",4,"angular","Random"
"317",123,"angular","Random"
"318",72,"angular","Random"
"319",7,"angular","Random"
"320",3402,"angular","Random"
"321",837,"angular","Random"
"322",0,"angular","Random"
"323",27,"angular","Random"
"324",646,"angular","Random"
"325",2551,"angular","Random"
"326",2,"angular","Random"
"327",2,"angular","Random"
"328",3,"angular","Random"
"329",1494,"angular","Random"
"330",61,"angular","Random"
"331",1282,"angular","Random"
"332",86,"angular","Random"
"333",318,"angular","Random"
"334",73,"angular","Random"
"335",353,"angular","Random"
"336",771,"angular","Random"
"337",7,"angular","Random"
"338",6,"angular","Random"
"339",NA,"angular","Random"
"340",16,"angular","Random"
"341",8,"angular","Random"
"342",3,"angular","Random"
"343",149,"angular","Random"
"344",2,"angular","Random"
"345",1283,"angular","Random"
"346",24,"angular","Random"
"347",714,"angular","Random"
"348",34,"angular","Random"
"349",23,"angular","Random"
"350",47,"angular","Random"
"351",0,"angular","Random"
"352",705,"angular","Random"
"353",15126,"angular","Random"
"354",76,"angular","Random"
"355",NA,"angular","Random"
"356",0,"angular","Random"
"357",0,"angular","Random"
"358",66,"angular","Random"
"359",35,"angular","Random"
"360",1016,"angular","Random"
"361",28,"angular","Random"
"362",8510,"angular","Random"
"363",NA,"angular","Random"
"364",5624,"angular","Random"
"365",18191,"angular","Random"
"366",0,"angular","Random"
"367",3,"angular","Random"
"368",32,"angular","Random"
"369",109,"angular","Random"
"370",159,"angular","Random"
"371",124,"angular","Random"
"372",118,"angular","Random"
"373",334,"angular","Random"
"374",4,"angular","Random"
"375",142,"angular","Random"
"376",18,"angular","Random"
"377",4,"angular","Random"
"378",150,"angular","Random"
"379",20,"angular","Random"
"380",21,"angular","Random"
"381",NA,"angular","Random"
"382",5,"angular","Random"
"383",12,"angular","Random"
"384",7,"angular","Random"
"385",26,"angular","Random"
"386",20,"angular","Random"
"387",6,"angular","Random"
"388",47,"angular","Random"
"389",26,"angular","Random"
"390",5,"angular","Random"
"391",779,"angular","Random"
"392",44,"angular","Random"
"393",53,"angular","Random"
"394",6,"angular","Random"
"395",18,"angular","Random"
"396",986,"angular","Random"
"397",6,"angular","Random"
"398",5,"angular","Random"
"399",35,"angular","Random"
"400",161,"angular","Random"
"401",163,"angular","Random"
"402",258,"angular","Random"
"403",NA,"angular","Random"
"404",72,"angular","Random"
"405",310,"angular","Random"
"406",NA,"angular","Random"
"407",6538,"angular","Random"
"408",60,"angular","Random"
"409",1040,"angular","Random"
"410",12894,"angular","Random"
"411",0,"angular","Random"
"412",2286,"angular","Random"
"413",169,"angular","Random"
"414",330,"angular","Random"
"415",NA,"angular","Random"
"416",5,"angular","Random"
"417",5,"angular","Random"
"418",0,"angular","Random"
"419",44,"angular","Random"
"420",76,"angular","Random"
"421",141,"angular","Random"
"422",16,"angular","Random"
"423",330,"angular","Random"
"424",1,"angular","Random"
"425",12,"angular","Random"
"426",1391,"angular","Random"
"427",1,"angular","Random"
"428",0,"angular","Random"
"429",7962,"angular","Random"
"430",NA,"angular","Random"
"431",NA,"angular","Random"
"432",2,"angular","Random"
"433",141,"angular","Random"
"434",21,"angular","Random"
"435",5570,"angular","Random"
"436",21,"angular","Random"
"437",11,"angular","Random"
"438",7047,"angular","Random"
"439",NA,"angular","Random"
"440",1313,"angular","Random"
"441",282,"angular","Random"
"442",56,"angular","Random"
"443",3801,"angular","Random"
"444",8,"angular","Random"
"445",0,"angular","Random"
"446",59,"angular","Random"
"447",NA,"angular","Random"
"448",12,"angular","Random"
"449",11,"angular","Random"
"450",4,"angular","Random"
"451",1,"angular","Random"
"452",0,"angular","Random"
"453",96,"angular","Random"
"454",15,"angular","Random"
"455",NA,"angular","Random"
"456",145,"angular","Random"
"457",39,"angular","Random"
"458",20,"angular","Random"
"459",NA,"angular","Random"
"460",1313,"angular","Random"
"461",401,"angular","Random"
"462",44,"angular","Random"
"463",407,"angular","Random"
"464",NA,"angular","Random"
"465",19,"angular","Random"
"466",73,"angular","Random"
"467",1,"angular","Random"
"468",550,"angular","Random"
"469",3,"angular","Random"
"470",128,"angular","Random"
"471",352,"angular","Random"
"472",200,"angular","Random"
"473",38,"angular","Random"
"474",0,"angular","Random"
"475",11,"angular","Random"
"476",21,"angular","Random"
"477",30,"angular","Random"
"478",3,"angular","Random"
"479",220,"angular","Random"
"480",2263,"angular","Random"
"481",218,"angular","Random"
"482",40,"angular","Random"
"483",7,"angular","Random"
"484",4784,"angular","Random"
"485",26,"angular","Random"
"486",NA,"angular","Random"
"487",467,"angular","Random"
"488",192,"angular","Random"
"489",9,"angular","Random"
"490",3,"angular","Random"
"491",9,"angular","Random"
"492",NA,"angular","Random"
"493",4,"angular","Random"
"494",NA,"angular","Random"
"495",114,"angular","Random"
"496",8307,"angular","Random"
"497",143,"angular","Random"
"498",91,"angular","Random"
"499",10681,"angular","Random"
"500",18449,"angular","Random"
"501",27,"angular","Random"
"502",9,"angular","Random"
"503",5643,"angular","Random"
"504",626,"angular","Random"
"505",133,"angular","Random"
"506",995,"angular","Random"
"507",132,"angular","Random"
"508",9,"angular","Random"
"509",142,"angular","Random"
"510",185,"angular","Random"
"511",NA,"angular","Random"
"512",914,"angular","Random"
"513",23684,"angular","Random"
"514",NA,"angular","Random"
"515",158,"angular","Random"
"516",2,"angular","Random"
"517",0,"angular","Random"
"518",16,"angular","Random"
"519",1,"angular","Random"
"520",385,"angular","Random"
"521",0,"angular","Random"
"522",15,"angular","Random"
"523",NA,"angular","Random"
"524",1486,"angular","Random"
"525",144,"angular","Random"
"526",2368,"angular","Random"
"527",151,"angular","Random"
"528",26,"angular","Random"
"529",54,"angular","Random"
"530",339,"angular","Random"
"531",NA,"angular","Random"
"532",NA,"angular","Random"
"533",1,"angular","Random"
"534",NA,"angular","Random"
"535",95,"angular","Random"
"536",7327,"angular","Random"
"537",21,"angular","Random"
"538",NA,"angular","Random"
"539",167,"angular","Random"
"540",0,"angular","Random"
"541",154,"angular","Random"
"542",35,"angular","Random"
"543",48,"angular","Random"
"544",2470,"angular","Random"
"545",4,"angular","Random"
"546",361,"angular","Random"
"547",92,"angular","Random"
"548",44,"angular","Random"
"549",259,"angular","Random"
"550",4,"angular","Random"
"551",175,"angular","Random"
"552",1,"angular","Random"
"553",125,"angular","Random"
