issuenumber,resolution_time,room,configuration
18380,1,angular,Random
18416,1,angular,Random
18475,45,angular,Random
18480,NA,angular,Random
18481,28,angular,Random
18486,NA,angular,Random
18503,7,angular,Random
18525,6,angular,Random
18528,0,angular,Random
18551,3,angular,Random
18557,24,angular,Random
18571,0,angular,Random
18593,22,angular,Random
18605,NA,angular,Random
18645,NA,angular,Random
18660,91,angular,Random
18664,76,angular,Random
18671,16319,angular,Random
18687,6962,angular,Random
18695,NA,angular,Random
18729,2514,angular,Random
18752,1151,angular,Random
18810,NA,angular,Random
18811,2551,angular,Random
18836,1825,angular,Random
18861,0,angular,Random
18870,NA,angular,Random
18889,2436,angular,Random
18894,NA,angular,Random
18900,35,angular,Random
18939,NA,angular,Random
18962,44,angular,Random
18989,292,angular,Random
18992,102,angular,Random
19015,NA,angular,Random
19027,375,angular,Random
19033,77,angular,Random
19039,698,angular,Random
19089,3489,angular,Random
19098,NA,angular,Random
19099,NA,angular,Random
19102,NA,angular,Random
19104,2,angular,Random
19141,0,angular,Random
19148,NA,angular,Random
19154,26,angular,Random
19166,1887,angular,Random
19167,2009,angular,Random
19177,5531,angular,Random
19211,1,angular,Random
19230,1,angular,Random
19235,3904,angular,Random
19247,NA,angular,Random
19271,NA,angular,Random
19281,0,angular,Random
19312,NA,angular,Random
19318,4,angular,Random
19333,950,angular,Random
19358,38,angular,Random
19436,NA,angular,Random
19437,1,angular,Random
19448,22,angular,Random
19458,4,angular,Random
19467,NA,angular,Random
19478,68,angular,Random
19507,414,angular,Random
19540,8,angular,Random
19573,NA,angular,Random
19605,715,angular,Random
19610,1,angular,Random
19611,19,angular,Random
19613,9,angular,Random
19622,579,angular,Random
19639,8,angular,Random
19640,8,angular,Random
19650,59,angular,Random
19686,NA,angular,Random
19690,NA,angular,Random
19708,504,angular,Random
19712,3840,angular,Random
19714,8658,angular,Random
19724,42,angular,Random
19731,18,angular,Random
19734,10672,angular,Random
19737,1093,angular,Random
19746,4784,angular,Random
19755,22,angular,Random
19757,1544,angular,Random
19780,1,angular,Random
19790,2,angular,Random
19796,NA,angular,Random
19798,NA,angular,Random
19816,NA,angular,Random
19819,2,angular,Random
19824,NA,angular,Random
19830,124,angular,Random
19831,915,angular,Random
19835,989,angular,Random
19848,73,angular,Random
19860,7,angular,Random
19893,27,angular,Random
19897,10,angular,Random
19933,1,angular,Random
19943,20,angular,Random
19949,26,angular,Random
19967,1,angular,Random
19969,330,angular,Random
19971,157,angular,Random
19997,NA,angular,Random
20015,248,angular,Random
20059,679,angular,Random
20093,34,angular,Random
20104,29,angular,Random
20105,8344,angular,Random
20130,NA,angular,Random
20132,5,angular,Random
20142,8,angular,Random
20150,3,angular,Random
20159,1494,angular,Random
20160,97,angular,Random
20195,1,angular,Random
20198,21,angular,Random
20200,0,angular,Random
20228,NA,angular,Random
20261,19,angular,Random
20263,1,angular,Random
20274,730,angular,Random
20279,NA,angular,Random
20286,2,angular,Random
20299,7,angular,Random
20304,4,angular,Random
20309,1,angular,Random
20355,63,angular,Random
20357,60,angular,Random
20372,34,angular,Random
20378,28,angular,Random
20422,NA,angular,Random
20434,NA,angular,Random
20473,NA,angular,Random
20499,16488,angular,Random
20514,17,angular,Random
20529,48,angular,Random
20530,48,angular,Random
20575,158,angular,Random
20602,2,angular,Random
20615,2,angular,Random
20616,74,angular,Random
20627,NA,angular,Random
20628,259,angular,Random
20655,4,angular,Random
20660,10,angular,Random
20667,NA,angular,Random
20670,21,angular,Random
20687,1,angular,Random
20689,4,angular,Random
20691,12,angular,Random
20711,13125,angular,Random
20713,11225,angular,Random
20717,NA,angular,Random
20742,255,angular,Random
20752,80,angular,Random
20759,20,angular,Random
20774,37,angular,Random
20776,31,angular,Random
20785,NA,angular,Random
20790,11,angular,Random
20802,2,angular,Random
20813,0,angular,Random
20825,34,angular,Random
20833,NA,angular,Random
20852,20,angular,Random
20856,3,angular,Random
20858,11,angular,Random
20873,4,angular,Random
20874,NA,angular,Random
20883,0,angular,Random
20898,97,angular,Random
20904,7310,angular,Random
20921,4563,angular,Random
20945,10613,angular,Random
20962,2,angular,Random
20967,144,angular,Random
20980,6,angular,Random
20995,NA,angular,Random
21045,0,angular,Random
21067,71,angular,Random
21068,60,angular,Random
21071,58,angular,Random
21072,393,angular,Random
21087,10,angular,Random
21100,16,angular,Random
21115,NA,angular,Random
21123,NA,angular,Random
21132,10,angular,Random
21186,NA,angular,Random
21199,6,angular,Random
21201,NA,angular,Random
21205,16,angular,Random
21210,5,angular,Random
21211,0,angular,Random
21233,NA,angular,Random
21249,1,angular,Random
21300,NA,angular,Random
21306,652,angular,Random
21312,NA,angular,Random
21317,995,angular,Random
21339,NA,angular,Random
21362,4402,angular,Random
21366,2,angular,Random
21381,NA,angular,Random
21384,1107,angular,Random
21412,15439,angular,Random
21441,6,angular,Random
21451,1194,angular,Random
21457,NA,angular,Random
21459,452,angular,Random
21498,114,angular,Random
21500,NA,angular,Random
21505,4,angular,Random
21507,NA,angular,Random
21508,6557,angular,Random
21527,9,angular,Random
21541,31,angular,Random
21542,2555,angular,Random
21543,200,angular,Random
21546,NA,angular,Random
21554,8,angular,Random
21556,1,angular,Random
21573,2137,angular,Random
21599,744,angular,Random
21608,48,angular,Random
21615,NA,angular,Random
21621,520,angular,Random
21627,3,angular,Random
21633,17,angular,Random
21659,117,angular,Random
21661,6647,angular,Random
21698,33,angular,Random
21724,NA,angular,Random
21780,NA,angular,Random
21799,8,angular,Random
21853,2,angular,Random
21884,NA,angular,Random
21888,351,angular,Random
21910,173,angular,Random
21914,4335,angular,Random
21953,482,angular,Random
21965,0,angular,Random
21969,NA,angular,Random
21981,1,angular,Random
21989,0,angular,Random
22012,73,angular,Random
22022,38,angular,Random
22026,29,angular,Random
22047,3698,angular,Random
22079,1220,angular,Random
22088,NA,angular,Random
22090,108,angular,Random
22100,6481,angular,Random
22102,102,angular,Random
22115,109,angular,Random
22132,409,angular,Random
22141,1,angular,Random
22148,NA,angular,Random
22165,1088,angular,Random
22192,14,angular,Random
22208,4766,angular,Random
22227,11,angular,Random
22236,NA,angular,Random
22242,127,angular,Random
22253,104,angular,Random
22260,NA,angular,Random
22264,NA,angular,Random
22297,21,angular,Random
22354,4,angular,Random
22361,0,angular,Random
22362,824,angular,Random
22387,113,angular,Random
22390,1,angular,Random
22427,803,angular,Random
22440,0,angular,Random
22461,745,angular,Random
22491,1,angular,Random
22525,49,angular,Random
22549,116,angular,Random
22551,NA,angular,Random
22556,NA,angular,Random
22560,650,angular,Random
22568,58,angular,Random
22587,1596,angular,Random
22589,4,angular,Random
22592,579,angular,Random
22601,2,angular,Random
22605,10,angular,Random
22608,50,angular,Random
22609,4,angular,Random
22613,NA,angular,Random
22644,105,angular,Random
22695,3,angular,Random
22699,NA,angular,Random
22703,20,angular,Random
22729,3,angular,Random
22756,NA,angular,Random
22762,NA,angular,Random
22767,NA,angular,Random
22792,3814,angular,Random
22796,NA,angular,Random
22816,44,angular,Random
22890,636,angular,Random
22895,1,angular,Random
22915,1301,angular,Random
22941,1313,angular,Random
22947,161,angular,Random
22949,495,angular,Random
22956,NA,angular,Random
22957,154,angular,Random
22962,2,angular,Random
22976,2,angular,Random
22980,4,angular,Random
23016,NA,angular,Random
23023,1585,angular,Random
23060,1283,angular,Random
23061,1692,angular,Random
23124,NA,angular,Random
23125,1,angular,Random
23143,0,angular,Random
23159,1,angular,Random
23166,6,angular,Random
23172,28,angular,Random
23182,2190,angular,Random
23198,NA,angular,Random
23202,49,angular,Random
23203,1971,angular,Random
23240,132,angular,Random
23281,NA,angular,Random
23308,33,angular,Random
23314,32,angular,Random
23325,158,angular,Random
23329,NA,angular,Random
23343,13,angular,Random
23356,0,angular,Random
23358,6,angular,Random
23394,3,angular,Random
23410,12,angular,Random
23420,5,angular,Random
23430,1041,angular,Random
23440,1,angular,Random
23450,2,angular,Random
23454,5,angular,Random
23462,18,angular,Random
23472,99,angular,Random
23483,0,angular,Random
23506,3,angular,Random
23540,1,angular,Random
23543,NA,angular,Random
23560,2957,angular,Random
23571,NA,angular,Random
23597,52,angular,Random
23601,39,angular,Random
23604,2,angular,Random
23640,NA,angular,Random
23662,NA,angular,Random
23713,1614,angular,Random
23714,NA,angular,Random
23715,NA,angular,Random
23717,96,angular,Random
23719,259,angular,Random
23720,4,angular,Random
23735,6,angular,Random
23739,39,angular,Random
23746,35,angular,Random
23769,11,angular,Random
23791,156,angular,Random
23813,NA,angular,Random
23816,3,angular,Random
23824,5,angular,Random
23866,9,angular,Random
23867,93,angular,Random
23874,51,angular,Random
23887,0,angular,Random
23900,3242,angular,Random
23912,178,angular,Random
23937,801,angular,Random
23938,127,angular,Random
23956,134,angular,Random
23976,8,angular,Random
23986,331,angular,Random
23987,2,angular,Random
23988,144,angular,Random
24009,1,angular,Random
24044,NA,angular,Random
24061,NA,angular,Random
24063,NA,angular,Random
24101,19,angular,Random
24109,3282,angular,Random
24121,15,angular,Random
24133,NA,angular,Random
24182,NA,angular,Random
24196,372,angular,Random
24215,8,angular,Random
24220,0,angular,Random
24225,NA,angular,Random
24237,90,angular,Random
24268,39,angular,Random
24271,23,angular,Random
24272,NA,angular,Random
24278,52,angular,Random
24281,10,angular,Random
24306,1,angular,Random
24341,3,angular,Random
24355,3338,angular,Random
24371,5,angular,Random
24402,28,angular,Random
24404,221,angular,Random
24409,10,angular,Random
24412,6,angular,Random
24421,NA,angular,Random
24436,4,angular,Random
24473,545,angular,Random
24495,NA,angular,Random
24496,1822,angular,Random
24536,1283,angular,Random
24540,0,angular,Random
24545,NA,angular,Random
24581,3,angular,Random
24627,0,angular,Random
24635,63,angular,Random
24642,1,angular,Random
24707,NA,angular,Random
24741,1,angular,Random
24757,6,angular,Random
24765,132,angular,Random
24768,0,angular,Random
24778,46,angular,Random
24782,270,angular,Random
24785,437,angular,Random
24786,76,angular,Random
24793,22,angular,Random
24839,13,angular,Random
24849,NA,angular,Random
24855,10,angular,Random
24884,70,angular,Random
24902,537,angular,Random
24904,1757,angular,Random
24914,4,angular,Random
24951,58,angular,Random
24955,NA,angular,Random
24965,NA,angular,Random
24973,0,angular,Random
24989,2,angular,Random
24991,4,angular,Random
25013,2,angular,Random
25032,13,angular,Random
25055,NA,angular,Random
25084,NA,angular,Random
25086,1377,angular,Random
25106,27,angular,Random
25109,27,angular,Random
25113,27,angular,Random
25120,27,angular,Random
25126,27,angular,Random
25129,27,angular,Random
25154,1264,angular,Random
25157,4,angular,Random
25159,33,angular,Random
25209,1227,angular,Random
25210,2705,angular,Random
25220,11,angular,Random
25224,11,angular,Random
25226,NA,angular,Random
25254,2667,angular,Random
25264,2,angular,Random
25323,NA,angular,Random
25338,361,angular,Random
25340,13,angular,Random
25373,10,angular,Random
25380,NA,angular,Random
25385,152,angular,Random
25399,5885,angular,Random
25400,32,angular,Random
25407,48,angular,Random
25427,31,angular,Random
25441,38,angular,Random
25489,169,angular,Random
25494,NA,angular,Random
25511,12,angular,Random
25539,7,angular,Random
25542,302,angular,Random
25566,25,angular,Random
25567,33,angular,Random
25593,NA,angular,Random
25608,207,angular,Random
25639,18,angular,Random
25654,1,angular,Random
25660,1999,angular,Random
25662,3,angular,Random
25664,435,angular,Random
25688,92,angular,Random
25703,983,angular,Random
25785,43,angular,Random
25798,1,angular,Random
25801,8,angular,Random
25835,122,angular,Random
25848,118,angular,Random
25850,21,angular,Random
25881,2,angular,Random
25891,1,angular,Random
25896,68,angular,Random
25924,NA,angular,Random
25934,21,angular,Random
25951,125,angular,Random
25953,1,angular,Random
25960,15,angular,Random
25982,0,angular,Random
25990,9,angular,Random
26014,0,angular,Random
26022,1830,angular,Random
26046,28,angular,Random
26186,26,angular,Random
26229,11,angular,Random
26242,9,angular,Random
26255,0,angular,Random
26264,5,angular,Random
26265,NA,angular,Random
26269,NA,angular,Random
26292,NA,angular,Random
26335,902,angular,Random
26367,34,angular,Random
26381,1,angular,Random
26385,20,angular,Random
26429,2,angular,Random
26487,23,angular,Random
26532,0,angular,Random
26546,3,angular,Random
26566,10,angular,Random
26611,1,angular,Random
26616,371,angular,Random
26624,NA,angular,Random
26643,8,angular,Random
26647,NA,angular,Random
26648,265,angular,Random
26672,NA,angular,Random
26701,843,angular,Random
26714,545,angular,Random
26717,NA,angular,Random
26751,129,angular,Random
26752,NA,angular,Random
26782,43,angular,Random
26800,NA,angular,Random
26917,1,angular,Random
26922,NA,angular,Random
26954,NA,angular,Random
26986,0,angular,Random
27007,4014,angular,Random
27016,1,angular,Random
27060,0,angular,Random
27076,390,angular,Random
27081,NA,angular,Random
27092,179,angular,Random
27123,288,angular,Random
27137,2,angular,Random
27147,3409,angular,Random
27164,65,angular,Random
27184,30,angular,Random
27194,2,angular,Random
27240,NA,angular,Random
27254,1,angular,Random
27275,23,angular,Random
27288,0,angular,Random
27315,NA,angular,Random
27316,14,angular,Random
27340,1,angular,Random
27345,7,angular,Random
27373,64,angular,Random
27430,26,angular,Random
27453,24,angular,Random
27474,5,angular,Random
27506,NA,angular,Random
27547,0,angular,Random
27554,65,angular,Random
27555,NA,angular,Random
27566,2416,angular,Random
27570,2,angular,Random
27593,NA,angular,Random
27599,1,angular,Random
27626,NA,angular,Random
27629,NA,angular,Random
27701,NA,angular,Random
27729,6459,angular,Random
27740,NA,angular,Random
27841,373,angular,Random
27845,999,angular,Random
27847,3,angular,Random
27853,7,angular,Random
27858,3654,angular,Random
27877,NA,angular,Random
27878,30,angular,Random
27885,6854,angular,Random
27905,NA,angular,Random
27953,12,angular,Random
27969,NA,angular,Random
27980,179,angular,Random
28040,NA,angular,Random
28063,11,angular,Random
28079,795,angular,Random
28109,234,angular,Random
28126,867,angular,Random
28140,252,angular,Random
28158,1413,angular,Random
28200,133,angular,Random
28225,112,angular,Random
28227,62,angular,Random
28294,1177,angular,Random
28361,115,angular,Random
28373,4258,angular,Random
28380,93,angular,Random
28403,25,angular,Random
28406,70,angular,Random
28491,NA,angular,Random
28528,26,angular,Random
28565,1,angular,Random
28590,2,angular,Random
28666,11,angular,Random
28678,4,angular,Random
28738,NA,angular,Random
28747,71,angular,Random
28749,2,angular,Random
28776,NA,angular,Random
28786,NA,angular,Random
28799,1208,angular,Random
28801,NA,angular,Random
28823,1185,angular,Random
28866,3,angular,Random
28867,NA,angular,Random
28878,7,angular,Random
28885,NA,angular,Random
28948,11,angular,Random
28959,36,angular,Random
28968,NA,angular,Random
28970,9,angular,Random
28988,4172,angular,Random
29000,180,angular,Random
29020,12,angular,Random
29052,NA,angular,Random
29088,9,angular,Random
29090,0,angular,Random
29171,NA,angular,Random
29188,1,angular,Random
29240,16,angular,Random
29243,3,angular,Random
29244,3,angular,Random
29397,NA,angular,Random
29425,16,angular,Random
29454,638,angular,Random
29469,NA,angular,Random
29477,20,angular,Random
29491,752,angular,Random
29499,3380,angular,Random
29511,NA,angular,Random
29575,NA,angular,Random
29624,889,angular,Random
29637,15,angular,Random
29648,29,angular,Random
29653,14,angular,Random
29732,21,angular,Random
29742,769,angular,Random
29759,1391,angular,Random
29763,36,angular,Random
29787,5,angular,Random
29790,4,angular,Random
29806,182,angular,Random
29808,0,angular,Random
29814,15,angular,Random
29865,129,angular,Random
29874,NA,angular,Random
29882,111,angular,Random
29893,575,angular,Random
29900,NA,angular,Random
29924,1039,angular,Random
29970,4,angular,Random
29971,27,angular,Random
29985,1318,angular,Random
29996,5,angular,Random
30000,133,angular,Random
30003,53,angular,Random
30013,28,angular,Random
30046,397,angular,Random
30060,NA,angular,Random
30078,NA,angular,Random
30080,4402,angular,Random
30172,461,angular,Random
30193,15,angular,Random
30205,4,angular,Random
30304,NA,angular,Random
30305,NA,angular,Random
30312,24,angular,Random
30332,197,angular,Random
30347,183,angular,Random
30354,1,angular,Random
30356,1423,angular,Random
30365,3548,angular,Random
30378,2,angular,Random
30412,423,angular,Random
30439,NA,angular,Random
30494,1332,angular,Random
30505,NA,angular,Random
30527,0,angular,Random
30550,73,angular,Random
30631,802,angular,Random
30681,0,angular,Random
30684,3541,angular,Random
30700,214,angular,Random
30713,45,angular,Random
30724,17,angular,Random
30739,0,angular,Random
30784,NA,angular,Random
30804,79,angular,Random
30816,4,angular,Random
30874,124,angular,Random
30887,1,angular,Random
30890,2,angular,Random
30896,NA,angular,Random
30922,1164,angular,Random
30925,NA,angular,Random
30973,763,angular,Random
30981,NA,angular,Random
30982,21,angular,Random
30987,NA,angular,Random
31033,NA,angular,Random
31034,268,angular,Random
31130,NA,angular,Random
31144,NA,angular,Random
31242,NA,angular,Random
31283,NA,angular,Random
31310,NA,angular,Random
31311,3088,angular,Random
31400,342,angular,Random
31421,1,angular,Random
31448,3,angular,Random
31477,NA,angular,Random
31483,1049,angular,Random
31498,8,angular,Random
31513,1059,angular,Random
31526,19,angular,Random
31557,11,angular,Random
31558,4,angular,Random
31560,42,angular,Random
31580,0,angular,Random
31584,NA,angular,Random
31587,NA,angular,Random
31595,NA,angular,Random
31606,9,angular,Random
31622,NA,angular,Random
31629,NA,angular,Random
31647,1,angular,Random
31670,811,angular,Random
31685,NA,angular,Random
31686,3147,angular,Random
31692,NA,angular,Random
31699,8072,angular,Random
31706,NA,angular,Random
31708,NA,angular,Random
31709,NA,angular,Random
31715,25,angular,Random
31721,106,angular,Random
31745,NA,angular,Random
31771,NA,angular,Random
31775,2,angular,Random
31862,2430,angular,Random
31875,390,angular,Random
31930,NA,angular,Random
31979,420,angular,Random
31981,82,angular,Random
31982,130,angular,Random
31984,415,angular,Random
31992,NA,angular,Random
32002,NA,angular,Random
32044,1,angular,Random
32086,121,angular,Random
32095,40,angular,Random
32099,1649,angular,Random
32103,NA,angular,Random
32134,541,angular,Random
32169,75,angular,Random
32179,52,angular,Random
32180,NA,angular,Random
32182,8,angular,Random
32188,29,angular,Random
32352,14,angular,Random
32455,9,angular,Random
32458,27,angular,Random
32470,NA,angular,Random
32517,594,angular,Random
32550,43,angular,Random
32571,326,angular,Random
32600,5,angular,Random
32614,NA,angular,Random
32651,NA,angular,Random
32663,NA,angular,Random
32665,NA,angular,Random
32695,NA,angular,Random
32738,11,angular,Random
32790,NA,angular,Random
32816,258,angular,Random
32821,1,angular,Random
32833,4,angular,Random
32834,139,angular,Random
32836,NA,angular,Random
32861,2,angular,Random
32870,0,angular,Random
32876,2,angular,Random
32917,28,angular,Random
32918,0,angular,Random
32928,3,angular,Random
32990,2,angular,Random
32995,NA,angular,Random
33017,0,angular,Random
33035,179,angular,Random
33095,81,angular,Random
33173,NA,angular,Random
33271,38,angular,Random
33272,1,angular,Random
33277,29,angular,Random
33297,200,angular,Random
33368,10,angular,Random
33371,NA,angular,Random
33408,5,angular,Random
33411,2,angular,Random
33416,NA,angular,Random
33443,NA,angular,Random
33460,9,angular,Random
33469,8,angular,Random
33589,22,angular,Random
33619,14,angular,Random
33620,NA,angular,Random
33622,1,angular,Random
33642,NA,angular,Random
33654,NA,angular,Random
33655,NA,angular,Random
33657,NA,angular,Random
33686,NA,angular,Random
33690,3,angular,Random
33710,NA,angular,Random
511,70,appium,Random
604,231,appium,Random
910,1386,appium,Random
1008,1080,appium,Random
1157,6333,appium,Random
1159,4,appium,Random
1301,415,appium,Random
1333,26802,appium,Random
1478,717,appium,Random
1770,2,appium,Random
2098,2,appium,Random
2132,29,appium,Random
2281,1,appium,Random
2620,21,appium,Random
2725,10,appium,Random
2824,157,appium,Random
2828,12,appium,Random
3131,1,appium,Random
3161,15680,appium,Random
3171,0,appium,Random
3179,41786,appium,Random
3499,5699,appium,Random
4042,4326,appium,Random
4368,1828,appium,Random
4459,335,appium,Random
4629,178,appium,Random
4878,647,appium,Random
4979,24241,appium,Random
5080,9977,appium,Random
5352,157,appium,Random
5394,360,appium,Random
5731,5412,appium,Random
5912,95,appium,Random
6044,1,appium,Random
6101,14,appium,Random
6157,36,appium,Random
6213,26,appium,Random
6241,44,appium,Random
6330,11941,appium,Random
6363,28,appium,Random
6476,15426,appium,Random
6772,1018,appium,Random
6809,1685,appium,Random
6828,NA,appium,Random
6949,486,appium,Random
7119,2125,appium,Random
7185,149,appium,Random
7261,0,appium,Random
7406,5405,appium,Random
7467,457,appium,Random
7603,0,appium,Random
7787,4156,appium,Random
7879,27,appium,Random
8099,18,appium,Random
8140,67,appium,Random
8192,2,appium,Random
8249,130,appium,Random
8358,2,appium,Random
8488,1489,appium,Random
8555,26,appium,Random
8570,28,appium,Random
8574,5,appium,Random
8589,1555,appium,Random
8812,1,appium,Random
8929,8949,appium,Random
9148,3,appium,Random
9205,1322,appium,Random
9278,88,appium,Random
9481,0,appium,Random
9497,7,appium,Random
9534,96,appium,Random
9567,167,appium,Random
9675,1,appium,Random
9728,84,appium,Random
9897,5112,appium,Random
9917,16,appium,Random
9966,4,appium,Random
10051,1,appium,Random
10211,125,appium,Random
10248,91,appium,Random
10325,6228,appium,Random
10344,821,appium,Random
10426,37,appium,Random
10647,6,appium,Random
10657,43,appium,Random
10745,1,appium,Random
10837,2,appium,Random
11070,98,appium,Random
11160,0,appium,Random
11227,81,appium,Random
11276,73,appium,Random
11318,0,appium,Random
11358,20,appium,Random
11570,25,appium,Random
11572,3,appium,Random
11575,4,appium,Random
11701,50,appium,Random
11911,0,appium,Random
11914,129,appium,Random
12069,44,appium,Random
12901,132,appium,Random
12904,15,appium,Random
13000,3,appium,Random
13017,448,appium,Random
13074,132,appium,Random
13096,60,appium,Random
13149,15,appium,Random
13238,73,appium,Random
13299,92,appium,Random
13308,66,appium,Random
13381,NA,appium,Random
13480,2,appium,Random
102,634,aws,Random
116,727,aws,Random
171,20,aws,Random
486,2476,aws,Random
537,1929,aws,Random
824,95,aws,Random
1292,1,aws,Random
2194,257,aws,Random
2304,NA,aws,Random
2423,950,aws,Random
2446,339,aws,Random
951,18,bootstrap,Random
1205,1,bootstrap,Random
10167,0,bootstrap,Random
11251,1,bootstrap,Random
21412,1,bootstrap,Random
58,2536,corefx,Random
522,6157,corefx,Random
694,82,corefx,Random
1652,16551,corefx,Random
3126,NA,corefx,Random
3133,18972,corefx,Random
3779,12201,corefx,Random
3823,4790,corefx,Random
4074,829,corefx,Random
4553,72,corefx,Random
5436,551,corefx,Random
5453,30817,corefx,Random
6037,26,corefx,Random
6653,0,corefx,Random
7528,8955,corefx,Random
8436,239,corefx,Random
8985,2,corefx,Random
10014,30,corefx,Random
10501,910,corefx,Random
11268,1036,corefx,Random
11612,1036,corefx,Random
12107,2545,corefx,Random
13298,4530,corefx,Random
13299,2853,corefx,Random
13516,295,corefx,Random
13619,106,corefx,Random
13906,3451,corefx,Random
13914,340,corefx,Random
14131,4,corefx,Random
14584,12259,corefx,Random
15486,NA,corefx,Random
15776,7008,corefx,Random
15937,16532,corefx,Random
16664,17749,corefx,Random
16699,497,corefx,Random
17214,12907,corefx,Random
17325,15,corefx,Random
17437,6918,corefx,Random
17639,40,corefx,Random
18352,15,corefx,Random
18599,12,corefx,Random
18632,144,corefx,Random
20780,5893,corefx,Random
21116,5636,corefx,Random
21550,10,corefx,Random
21834,1,corefx,Random
22094,4938,corefx,Random
22401,358,corefx,Random
22616,2825,corefx,Random
22764,NA,corefx,Random
22901,108,corefx,Random
23128,4971,corefx,Random
23341,6531,corefx,Random
23847,657,corefx,Random
24228,272,corefx,Random
25011,16218,corefx,Random
25905,1,corefx,Random
26148,9,corefx,Random
27351,NA,corefx,Random
28107,1543,corefx,Random
28192,587,corefx,Random
28355,3058,corefx,Random
29235,0,corefx,Random
29730,6881,corefx,Random
29881,6834,corefx,Random
30106,82,corefx,Random
30174,NA,corefx,Random
30772,0,corefx,Random
31583,275,corefx,Random
32088,72,corefx,Random
32139,32,corefx,Random
32475,893,corefx,Random
32561,551,corefx,Random
33241,182,corefx,Random
33631,NA,corefx,Random
34100,136,corefx,Random
35707,NA,corefx,Random
36141,5,corefx,Random
36370,2,corefx,Random
36835,NA,corefx,Random
37430,714,corefx,Random
37929,171,corefx,Random
38260,NA,corefx,Random
38738,NA,corefx,Random
38833,NA,corefx,Random
39670,5,corefx,Random
41781,28,corefx,Random
42208,NA,corefx,Random
42494,2,corefx,Random
26,2,deeplearning,Random
31,6,deeplearning,Random
33,4,deeplearning,Random
44,2963,deeplearning,Random
68,79,deeplearning,Random
87,2,deeplearning,Random
92,48,deeplearning,Random
104,2,deeplearning,Random
106,294,deeplearning,Random
121,1,deeplearning,Random
142,15,deeplearning,Random
152,7,deeplearning,Random
171,940,deeplearning,Random
175,42,deeplearning,Random
176,242,deeplearning,Random
184,0,deeplearning,Random
189,7,deeplearning,Random
207,72,deeplearning,Random
245,145,deeplearning,Random
247,145,deeplearning,Random
263,7844,deeplearning,Random
285,177,deeplearning,Random
290,44,deeplearning,Random
304,3,deeplearning,Random
321,198,deeplearning,Random
327,66,deeplearning,Random
328,59,deeplearning,Random
329,65,deeplearning,Random
335,11,deeplearning,Random
361,128,deeplearning,Random
390,0,deeplearning,Random
404,5,deeplearning,Random
443,44,deeplearning,Random
513,690,deeplearning,Random
543,0,deeplearning,Random
546,17,deeplearning,Random
566,565,deeplearning,Random
595,36,deeplearning,Random
604,50,deeplearning,Random
616,177,deeplearning,Random
624,129,deeplearning,Random
627,2,deeplearning,Random
629,263,deeplearning,Random
641,30,deeplearning,Random
642,66,deeplearning,Random
646,108,deeplearning,Random
657,0,deeplearning,Random
662,1,deeplearning,Random
719,969,deeplearning,Random
727,20951,deeplearning,Random
739,25,deeplearning,Random
741,5249,deeplearning,Random
753,4910,deeplearning,Random
769,458,deeplearning,Random
803,376,deeplearning,Random
804,735,deeplearning,Random
808,9484,deeplearning,Random
809,3,deeplearning,Random
823,2,deeplearning,Random
825,428,deeplearning,Random
843,0,deeplearning,Random
847,4435,deeplearning,Random
856,788,deeplearning,Random
899,8753,deeplearning,Random
903,425,deeplearning,Random
908,193,deeplearning,Random
909,19215,deeplearning,Random
920,1994,deeplearning,Random
946,3183,deeplearning,Random
948,NA,deeplearning,Random
949,1,deeplearning,Random
958,45,deeplearning,Random
972,13362,deeplearning,Random
984,1,deeplearning,Random
985,3,deeplearning,Random
992,26,deeplearning,Random
993,2,deeplearning,Random
998,184,deeplearning,Random
1012,2855,deeplearning,Random
1018,63,deeplearning,Random
1021,20170,deeplearning,Random
1030,9093,deeplearning,Random
1057,96,deeplearning,Random
1109,742,deeplearning,Random
1113,9097,deeplearning,Random
1125,1993,deeplearning,Random
1136,3,deeplearning,Random
1161,1482,deeplearning,Random
1170,4,deeplearning,Random
1213,322,deeplearning,Random
1221,19,deeplearning,Random
1247,835,deeplearning,Random
1278,1124,deeplearning,Random
1291,0,deeplearning,Random
1298,0,deeplearning,Random
1302,1,deeplearning,Random
1307,10,deeplearning,Random
1312,26,deeplearning,Random
1313,0,deeplearning,Random
1334,NA,deeplearning,Random
1337,0,deeplearning,Random
1361,1,deeplearning,Random
1367,81,deeplearning,Random
1396,23,deeplearning,Random
1411,0,deeplearning,Random
1426,2,deeplearning,Random
1431,19919,deeplearning,Random
1444,3,deeplearning,Random
1454,96,deeplearning,Random
1461,7516,deeplearning,Random
1464,49,deeplearning,Random
1471,649,deeplearning,Random
1479,35,deeplearning,Random
1489,NA,deeplearning,Random
1491,NA,deeplearning,Random
1500,17342,deeplearning,Random
1503,17317,deeplearning,Random
1516,4957,deeplearning,Random
1531,50,deeplearning,Random
1556,429,deeplearning,Random
1624,6271,deeplearning,Random
1665,318,deeplearning,Random
1670,34,deeplearning,Random
1676,546,deeplearning,Random
1685,243,deeplearning,Random
1705,35,deeplearning,Random
1709,0,deeplearning,Random
1711,8561,deeplearning,Random
1779,5466,deeplearning,Random
1801,51,deeplearning,Random
1813,48,deeplearning,Random
1814,3226,deeplearning,Random
1818,35,deeplearning,Random
1833,3139,deeplearning,Random
1834,5173,deeplearning,Random
1839,15527,deeplearning,Random
