issuenumber,resolution_time,room,configuration
1876,4,angular,Random
1918,125,angular,Random
1922,119,angular,Random
1930,1675,angular,Random
1943,347,angular,Random
1944,56,angular,Random
1998,55,angular,Random
1999,55,angular,Random
2000,55,angular,Random
2021,359,angular,Random
2039,11,angular,Random
2042,290,angular,Random
2043,34,angular,Random
2057,9,angular,Random
2068,172,angular,Random
2090,217,angular,Random
2120,123,angular,Random
2136,151,angular,Random
2147,280,angular,Random
2157,2167,angular,Random
2162,1209,angular,Random
2178,0,angular,Random
2194,385,angular,Random
2216,2109,angular,Random
2220,1087,angular,Random
2221,408,angular,Random
2224,1081,angular,Random
2241,1,angular,Random
2254,3,angular,Random
2260,0,angular,Random
2275,423,angular,Random
2277,6,angular,Random
2291,1371,angular,Random
2298,1038,angular,Random
2309,224,angular,Random
2320,1015,angular,Random
2335,670,angular,Random
2371,5,angular,Random
2388,9401,angular,Random
2416,193,angular,Random
2422,260,angular,Random
2448,717,angular,Random
2452,115,angular,Random
2496,9260,angular,Random
2498,290,angular,Random
2510,3,angular,Random
2569,4,angular,Random
2576,2,angular,Random
2616,702,angular,Random
2643,9069,angular,Random
2657,977,angular,Random
2682,8903,angular,Random
2684,5546,angular,Random
2686,896,angular,Random
2718,0,angular,Random
2723,312,angular,Random
2748,68,angular,Random
2771,1534,angular,Random
2774,339,angular,Random
2800,2016,angular,Random
2824,212,angular,Random
2845,8703,angular,Random
2871,162,angular,Random
2875,1163,angular,Random
2907,3,angular,Random
2919,8637,angular,Random
2936,291,angular,Random
3017,219,angular,Random
3023,3,angular,Random
3027,9170,angular,Random
3055,237,angular,Random
3060,890,angular,Random
3075,21,angular,Random
3082,2058,angular,Random
3091,24,angular,Random
3097,174,angular,Random
3121,1,angular,Random
3144,79,angular,Random
3167,179,angular,Random
3188,717,angular,Random
3194,8958,angular,Random
3235,277,angular,Random
3266,84,angular,Random
3267,1162,angular,Random
3272,1683,angular,Random
3276,8,angular,Random
3321,4580,angular,Random
3337,13080,angular,Random
3362,13,angular,Random
3365,611,angular,Random
3374,NA,angular,Random
3381,5,angular,Random
3407,3,angular,Random
3416,457,angular,Random
3422,155,angular,Random
3442,4675,angular,Random
3452,80,angular,Random
3464,8633,angular,Random
3480,7962,angular,Random
3489,334,angular,Random
3502,0,angular,Random
3520,336,angular,Random
3537,2,angular,Random
3560,0,angular,Random
3571,1612,angular,Random
3577,71,angular,Random
3593,7799,angular,Random
3597,807,angular,Random
3637,158,angular,Random
3680,2,angular,Random
3691,171,angular,Random
3713,484,angular,Random
3814,7489,angular,Random
3821,15,angular,Random
3837,36,angular,Random
3841,168,angular,Random
3882,1429,angular,Random
3924,98,angular,Random
4008,7221,angular,Random
4017,4,angular,Random
4019,465,angular,Random
4020,2,angular,Random
4026,861,angular,Random
4033,203,angular,Random
4112,6861,angular,Random
4131,1247,angular,Random
4137,0,angular,Random
4151,39,angular,Random
4155,0,angular,Random
4158,1040,angular,Random
4192,6966,angular,Random
4213,2,angular,Random
4224,997,angular,Random
4270,4006,angular,Random
4277,935,angular,Random
4287,1397,angular,Random
4297,196,angular,Random
4340,3863,angular,Random
4389,6665,angular,Random
4393,4,angular,Random
4403,673,angular,Random
4405,50,angular,Random
4407,6552,angular,Random
4417,1152,angular,Random
4433,821,angular,Random
4467,297,angular,Random
4471,5946,angular,Random
4478,3138,angular,Random
4481,2,angular,Random
4504,0,angular,Random
4506,1392,angular,Random
4507,62,angular,Random
4518,115,angular,Random
4557,0,angular,Random
4559,43,angular,Random
4564,1412,angular,Random
4569,9,angular,Random
4581,223,angular,Random
4622,495,angular,Random
4623,438,angular,Random
4671,6142,angular,Random
4689,8345,angular,Random
4707,8641,angular,Random
4733,8307,angular,Random
4736,0,angular,Random
4751,8,angular,Random
4757,19,angular,Random
4764,4,angular,Random
4769,676,angular,Random
4800,1,angular,Random
4802,2,angular,Random
4814,84,angular,Random
4821,215,angular,Random
4830,1682,angular,Random
4837,1367,angular,Random
4843,4049,angular,Random
4845,1052,angular,Random
4862,12194,angular,Random
4881,239,angular,Random
4897,12,angular,Random
4904,470,angular,Random
4906,101,angular,Random
4934,6638,angular,Random
4965,885,angular,Random
4973,1494,angular,Random
4974,24018,angular,Random
4997,3,angular,Random
5015,418,angular,Random
5051,1059,angular,Random
5077,910,angular,Random
5078,6481,angular,Random
5099,10,angular,Random
5110,29,angular,Random
5123,125,angular,Random
5126,NA,angular,Random
5156,1,angular,Random
5162,5164,angular,Random
5168,0,angular,Random
5176,1828,angular,Random
5177,7735,angular,Random
5234,49,angular,Random
5247,8,angular,Random
5283,456,angular,Random
5300,0,angular,Random
5308,25,angular,Random
5319,20,angular,Random
5351,1351,angular,Random
5353,8,angular,Random
5360,4,angular,Random
5384,124,angular,Random
5404,7047,angular,Random
5420,76,angular,Random
5455,7334,angular,Random
5471,6229,angular,Random
5502,1739,angular,Random
5527,6571,angular,Random
5559,24,angular,Random
5568,1276,angular,Random
5615,4432,angular,Random
5632,330,angular,Random
5643,48,angular,Random
5667,7,angular,Random
5679,NA,angular,Random
5704,5622,angular,Random
5706,4338,angular,Random
5708,7299,angular,Random
5728,0,angular,Random
5782,5030,angular,Random
5792,2027,angular,Random
5804,2,angular,Random
5811,5579,angular,Random
5815,24,angular,Random
5824,5,angular,Random
5846,243,angular,Random
5857,51,angular,Random
5934,352,angular,Random
5951,1,angular,Random
5961,0,angular,Random
5968,6810,angular,Random
5978,4713,angular,Random
5999,250,angular,Random
6009,975,angular,Random
6046,201,angular,Random
6068,1,angular,Random
6091,6652,angular,Random
6102,3908,angular,Random
6106,6643,angular,Random
6118,21971,angular,Random
6124,5,angular,Random
6130,55,angular,Random
6138,1039,angular,Random
6141,0,angular,Random
6145,55,angular,Random
6150,167,angular,Random
6153,1,angular,Random
6156,0,angular,Random
6162,6538,angular,Random
6165,17155,angular,Random
6172,5116,angular,Random
6174,5624,angular,Random
6185,1529,angular,Random
6188,5081,angular,Random
6196,4640,angular,Random
6199,165,angular,Random
6229,53,angular,Random
6234,5156,angular,Random
6237,6490,angular,Random
6255,100,angular,Random
6263,5220,angular,Random
6321,531,angular,Random
6328,6311,angular,Random
6332,5059,angular,Random
6340,649,angular,Random
6350,5041,angular,Random
6361,NA,angular,Random
6367,5033,angular,Random
6402,3482,angular,Random
6411,6215,angular,Random
6445,3430,angular,Random
6447,191,angular,Random
6451,188,angular,Random
6470,176,angular,Random
6480,0,angular,Random
6500,283,angular,Random
6530,19,angular,Random
6557,0,angular,Random
6570,1,angular,Random
6583,1,angular,Random
6589,2,angular,Random
6594,2,angular,Random
6597,4745,angular,Random
6606,6,angular,Random
6615,5595,angular,Random
6616,5983,angular,Random
6622,6159,angular,Random
6627,12452,angular,Random
6633,7,angular,Random
6673,435,angular,Random
6678,3801,angular,Random
6682,5281,angular,Random
6700,4627,angular,Random
6727,5852,angular,Random
6728,6014,angular,Random
6736,6,angular,Random
6748,4575,angular,Random
6760,15,angular,Random
6781,5961,angular,Random
6792,1,angular,Random
6794,1419,angular,Random
6810,7541,angular,Random
6819,2,angular,Random
6829,5709,angular,Random
6846,703,angular,Random
6889,5260,angular,Random
6891,5643,angular,Random
6899,6140,angular,Random
6904,5627,angular,Random
6916,5018,angular,Random
6938,105,angular,Random
6940,5570,angular,Random
6952,5,angular,Random
6966,5794,angular,Random
6968,3069,angular,Random
6972,5734,angular,Random
6982,16,angular,Random
6997,2730,angular,Random
7000,18,angular,Random
7004,13,angular,Random
7044,2686,angular,Random
7057,5615,angular,Random
7072,2635,angular,Random
7077,5398,angular,Random
7098,0,angular,Random
7144,5171,angular,Random
7146,2290,angular,Random
7147,5502,angular,Random
7179,2530,angular,Random
7181,7,angular,Random
7189,1335,angular,Random
7207,2493,angular,Random
7216,4857,angular,Random
7231,163,angular,Random
7258,1,angular,Random
7267,2,angular,Random
7275,2383,angular,Random
7300,1,angular,Random
7311,76,angular,Random
7314,5117,angular,Random
7340,32,angular,Random
7368,501,angular,Random
7385,626,angular,Random
7410,2455,angular,Random
7414,3731,angular,Random
7429,444,angular,Random
7439,959,angular,Random
7444,21,angular,Random
7493,72,angular,Random
7497,191,angular,Random
7555,2935,angular,Random
7568,31,angular,Random
7595,4039,angular,Random
7607,2263,angular,Random
7615,852,angular,Random
7641,5,angular,Random
7648,2541,angular,Random
7659,1852,angular,Random
7665,1,angular,Random
7675,1,angular,Random
7682,1788,angular,Random
7683,14,angular,Random
7688,1776,angular,Random
7696,3938,angular,Random
7722,3078,angular,Random
7744,16,angular,Random
7747,483,angular,Random
7781,2,angular,Random
7823,10,angular,Random
7829,1235,angular,Random
7836,1558,angular,Random
7839,4506,angular,Random
7862,2,angular,Random
7902,0,angular,Random
7909,550,angular,Random
7916,4277,angular,Random
7927,1,angular,Random
7928,3746,angular,Random
7933,13432,angular,Random
7934,4160,angular,Random
7952,1319,angular,Random
7967,0,angular,Random
