issuenumber,restime,commentcount,author_association,assigneeid,milestone,room,config
507,6581,11,CONTRIBUTOR,3067335,YES,amber,Gitter
508,2,10,CONTRIBUTOR,NA,NO,amber,Gitter
509,1,2,MEMBER,NA,YES,amber,Gitter
511,1,0,MEMBER,NA,NO,amber,Gitter
514,2,0,MEMBER,NA,NO,amber,Gitter
516,5,0,CONTRIBUTOR,NA,NO,amber,Gitter
517,53,0,MEMBER,NA,NO,amber,Gitter
518,0,1,CONTRIBUTOR,NA,NO,amber,Gitter
519,15,3,CONTRIBUTOR,NA,YES,amber,Gitter
520,0,2,CONTRIBUTOR,NA,YES,amber,Gitter
522,39,1,CONTRIBUTOR,NA,YES,amber,Gitter
525,5,1,MEMBER,NA,NO,amber,Gitter
529,11,0,MEMBER,NA,NO,amber,Gitter
530,6,1,MEMBER,NA,NO,amber,Gitter
531,24,4,MEMBER,NA,NO,amber,Gitter
534,190,12,CONTRIBUTOR,NA,YES,amber,Gitter
535,2,0,CONTRIBUTOR,NA,NO,amber,Gitter
539,69,1,CONTRIBUTOR,NA,NO,amber,Gitter
542,11,0,MEMBER,NA,NO,amber,Gitter
548,75,4,CONTRIBUTOR,NA,NO,amber,Gitter
549,4,0,CONTRIBUTOR,NA,NO,amber,Gitter
553,1321,12,CONTRIBUTOR,NA,YES,amber,Gitter
555,NA,8,NONE,3729631,YES,amber,Gitter
564,69,8,CONTRIBUTOR,NA,NO,amber,Gitter
568,32,5,CONTRIBUTOR,NA,NO,amber,Gitter
574,8427,13,NONE,NA,NO,amber,Gitter
578,124,0,CONTRIBUTOR,NA,NO,amber,Gitter
580,NA,12,CONTRIBUTOR,NA,YES,amber,Gitter
582,164,28,MEMBER,NA,NO,amber,Gitter
585,951,11,CONTRIBUTOR,112993,YES,amber,Gitter
589,63,0,CONTRIBUTOR,NA,NO,amber,Gitter
590,34,5,CONTRIBUTOR,NA,NO,amber,Gitter
592,894,10,MEMBER,1685772,YES,amber,Gitter
593,16,0,CONTRIBUTOR,NA,NO,amber,Gitter
