issuenumber,restime,commentcount,author_association,assigneeid,milestone,room,config
5,2,0,CONTRIBUTOR,NA,NO,amber,Random
12,6,0,CONTRIBUTOR,NA,NO,amber,Random
24,7,0,CONTRIBUTOR,NA,NO,amber,Random
31,5,0,CONTRIBUTOR,NA,NO,amber,Random
46,5,0,CONTRIBUTOR,NA,NO,amber,Random
55,453,0,MEMBER,124580,NO,amber,Random
56,6655,24,MEMBER,112993,YES,amber,Random
57,493,1,MEMBER,NA,NO,amber,Random
58,1439,3,MEMBER,1685772,NO,amber,Random
59,493,1,MEMBER,NA,NO,amber,Random
60,491,1,MEMBER,124580,NO,amber,Random
68,8,1,MEMBER,1685772,NO,amber,Random
85,14,0,MEMBER,NA,NO,amber,Random
87,27,0,MEMBER,NA,NO,amber,Random
88,0,0,CONTRIBUTOR,NA,NO,amber,Random
92,13,1,MEMBER,NA,NO,amber,Random
98,22,0,MEMBER,NA,NO,amber,Random
102,143,6,MEMBER,NA,NO,amber,Random
113,170,1,MEMBER,NA,NO,amber,Random
116,0,0,CONTRIBUTOR,NA,NO,amber,Random
124,0,1,MEMBER,NA,NO,amber,Random
131,2746,13,NONE,NA,NO,amber,Random
133,242,10,CONTRIBUTOR,NA,NO,amber,Random
134,225,4,NONE,NA,NO,amber,Random
136,276,2,MEMBER,2133368,NO,amber,Random
138,68,4,CONTRIBUTOR,NA,NO,amber,Random
145,93,2,MEMBER,NA,NO,amber,Random
147,1,1,MEMBER,NA,NO,amber,Random
149,802,2,MEMBER,2133368,NO,amber,Random
151,50,1,MEMBER,NA,NO,amber,Random
156,243,9,MEMBER,NA,NO,amber,Random
157,1,1,MEMBER,NA,NO,amber,Random
159,14,2,MEMBER,NA,NO,amber,Random
166,0,0,MEMBER,NA,NO,amber,Random
174,24,1,CONTRIBUTOR,NA,NO,amber,Random
187,1945,1,MEMBER,NA,NO,amber,Random
191,23,5,MEMBER,NA,NO,amber,Random
193,10,0,MEMBER,NA,NO,amber,Random
209,26,4,CONTRIBUTOR,NA,NO,amber,Random
218,28,0,MEMBER,NA,NO,amber,Random
223,12,0,MEMBER,NA,NO,amber,Random
232,21,0,CONTRIBUTOR,NA,NO,amber,Random
233,3117,4,MEMBER,18718,YES,amber,Random
236,17,2,CONTRIBUTOR,NA,NO,amber,Random
241,0,0,MEMBER,NA,NO,amber,Random
249,19,0,MEMBER,NA,NO,amber,Random
250,1,0,CONTRIBUTOR,NA,NO,amber,Random
251,15,1,MEMBER,NA,NO,amber,Random
254,34,0,MEMBER,NA,NO,amber,Random
257,7,0,MEMBER,NA,NO,amber,Random
258,10,0,MEMBER,NA,NO,amber,Random
259,36,5,MEMBER,NA,NO,amber,Random
260,33,0,MEMBER,NA,NO,amber,Random
261,563,5,MEMBER,3067335,NO,amber,Random
264,17,3,NONE,NA,NO,amber,Random
271,17,10,MEMBER,NA,NO,amber,Random
279,0,0,MEMBER,NA,NO,amber,Random
281,5,1,MEMBER,NA,NO,amber,Random
285,32,0,MEMBER,NA,NO,amber,Random
286,34,1,MEMBER,NA,NO,amber,Random
