displayName,username,sent,repo,number
Tamás Csaba,tamascsaba,2015-07-30T13:05:04.684Z,angular/angular,2110
Tamás Csaba,tamascsaba,2015-07-30T13:07:22.517Z,angular/angular,2797
Dima Kuzmich,forforeach,2015-08-02T10:04:06.231Z,angular/angular,3336
Eric Martinez,ericmartinezr,2015-08-02T14:03:23.964Z,angular/angular,2753
PatrickJS [tipe.io],gdi2290,2015-08-03T11:48:36.750Z,angular/angular,2296
theFifthElf,theFifthElf,2015-08-05T14:08:25.751Z,angular/angular,2020
Eric Martinez,ericmartinezr,2015-08-07T23:19:13.896Z,angular/angular,3498
Dima Kuzmich,forforeach,2015-08-09T12:05:30.403Z,angular/angular,3528
Eric Martinez,ericmartinezr,2015-08-10T15:11:02.997Z,angular/angular,1807
Eric M. Dantas,ericmdantas,2015-08-13T10:22:10.700Z,angular/angular,2788
Colin McCulloch,Zyzle,2015-08-13T12:37:14.740Z,angular/angular,3441
Eric Martinez,ericmartinezr,2015-08-13T15:17:47.338Z,angular/angular,1506
Pawel Kozlowski,pkozlowski-opensource,2015-08-13T15:19:50.430Z,angular/angular,2957
Ryan Metin,RyanMetin,2015-08-13T20:51:58.358Z,angular/angular,3628
Per Hornshøj-Schierbeck,Hojou,2015-08-14T10:52:17.288Z,angular/angular,3458
Pawel Kozlowski,pkozlowski-opensource,2015-08-14T12:04:46.142Z,angular/angular,2844
Eric Martinez,ericmartinezr,2015-08-14T15:57:20.965Z,angular/angular,3406
Eric Martinez,ericmartinezr,2015-08-16T16:35:45.346Z,angular/angular,2844
Dima Kuzmich,forforeach,2015-08-16T17:47:28.931Z,angular/angular,3670
Eric Martinez,ericmartinezr,2015-08-18T15:06:55.535Z,angular/angular,1858
Eric Martinez,ericmartinezr,2015-08-19T18:22:31.681Z,angular/angular,3557
Eric Martinez,ericmartinezr,2015-08-20T15:53:51.574Z,angular/angular,3740
Eric Martinez,ericmartinezr,2015-08-20T19:27:18.808Z,angular/angular,3755
Dan Halliday,danhalliday,2015-08-21T10:50:58.188Z,angular/angular,2788
Pawel Kozlowski,pkozlowski-opensource,2015-08-21T15:13:53.076Z,angular/angular,3769
Pawel Kozlowski,pkozlowski-opensource,2015-08-22T17:34:20.792Z,angular/angular,3785
Eric Martinez,ericmartinezr,2015-08-23T12:40:21.607Z,angular/angular,3691
Eric Martinez,ericmartinezr,2015-08-23T21:06:35.577Z,angular/angular,3291
Sebastien Dubois,dsebastien,2015-08-25T20:29:14.019Z,angular/angular,3797
Colin McCulloch,Zyzle,2015-08-27T12:20:09.750Z,angular/angular,2201
Eric Martinez,ericmartinezr,2015-08-27T21:00:52.092Z,angular/angular,3876
Eric Martinez,ericmartinezr,2015-08-31T01:10:02.075Z,angular/angular,3896
Eric Martinez,ericmartinezr,2015-08-31T17:22:37.287Z,angular/angular,3901
Isaac Park,IAPark,2015-08-31T21:09:02.230Z,angular/angular,3921
Roland Groza,rolandjitsu,2015-09-01T12:06:55.551Z,angular/angular,3740
Steve S.,SupremoRTD,2015-09-01T20:39:03.880Z,angular/angular,2788
mark1010,mark1010,2015-09-02T10:35:09.835Z,angular/angular,2397
Erik Schilling,Ablu,2015-09-02T17:26:38.534Z,angular/angular,3938
Yuki K,sumigoma,2015-09-03T16:37:28.102Z,angular/angular,3838
Eric Martinez,ericmartinezr,2015-09-03T16:52:40.302Z,angular/angular,2753
Eric Martinez,ericmartinezr,2015-09-03T16:55:52.758Z,angular/angular,2753
Eric Martinez,ericmartinezr,2015-09-03T16:55:52.758Z,angular/angular,1807
Eric Martinez,ericmartinezr,2015-09-03T20:01:43.052Z,angular/angular,3979
Eric Martinez,ericmartinezr,2015-09-04T15:08:59.970Z,angular/angular,2753
Alexey Podskrebyshev,alexpods,2015-09-04T16:09:02.554Z,angular/angular,2753
Eric Martinez,ericmartinezr,2015-09-04T19:23:33.215Z,angular/angular,3992
Jesse Good,jessegood,2015-09-05T21:14:11.795Z,angular/angular,3992
Audifaxdev,audifaxdev,2015-09-07T08:27:10.246Z,angular/angular,1858
Alfonso Presa,alfonso-presa,2015-09-07T11:14:16.462Z,angular/angular,4004
Eric Martinez,ericmartinezr,2015-09-07T14:26:33.942Z,angular/angular,3186
Roland Groza,rolandjitsu,2015-09-07T18:12:16.076Z,angular/angular,3424
Jesse Good,jessegood,2015-09-08T22:22:57.793Z,angular/angular,3518
Eric Martinez,ericmartinezr,2015-09-09T18:19:29.188Z,angular/angular,3928
Eric Martinez,ericmartinezr,2015-09-09T20:40:17.524Z,angular/angular,686
Eric Martinez,ericmartinezr,2015-09-09T20:40:17.524Z,angular/angular,3864
Eric M. Dantas,ericmdantas,2015-09-10T10:01:51.990Z,angular/angular,2296
Emmanuel DEMEY,Gillespie59,2015-09-10T11:05:01.597Z,angular/angular,3922
Eric M. Dantas,ericmdantas,2015-09-10T13:27:05.379Z,angular/angular,3186
Eric M. Dantas,ericmdantas,2015-09-11T12:51:21.496Z,angular/angular,4130
Eric Martinez,ericmartinezr,2015-09-13T02:43:45.175Z,angular/angular,4058
Rob Wormald,robwormald,2015-09-13T05:06:26.245Z,angular/angular,4149
Eric Martinez,ericmartinezr,2015-09-13T15:17:10.394Z,angular/angular,3979
Erik Schilling,Ablu,2015-09-13T19:21:28.039Z,angular/angular,4166
Eric Martinez,ericmartinezr,2015-09-14T11:34:39.391Z,angular/angular,3922
Eric Martinez,ericmartinezr,2015-09-14T12:53:26.578Z,angular/angular,4174
Jesse Good,jessegood,2015-09-15T11:12:28.176Z,angular/angular,3987
Pawel Kozlowski,pkozlowski-opensource,2015-09-15T12:29:23.023Z,angular/angular,3866
José Pedro Silva,jpsfs,2015-09-15T22:56:50.183Z,angular/angular,4197
Bas van den Heuvel,basvandenheuvel,2015-09-16T08:12:48.532Z,angular/angular,1034
Eric Martinez,ericmartinezr,2015-09-16T15:48:26.857Z,angular/angular,2719
Eric Martinez,ericmartinezr,2015-09-16T18:57:30.451Z,angular/angular,2793
Eric Martinez,ericmartinezr,2015-09-16T18:57:30.451Z,angular/angular,2803
Jesse Good,jessegood,2015-09-16T22:02:00.515Z,angular/angular,4216
Eric Martinez,ericmartinezr,2015-09-17T01:48:51.043Z,angular/angular,3957
Rob Wormald,robwormald,2015-09-17T03:31:57.174Z,angular/angular,4149
Pascal Precht,PascalPrecht,2015-09-17T09:55:08.792Z,angular/angular,2788
Jesse Good,jessegood,2015-09-17T13:58:15.099Z,angular/angular,709
Pawel Kozlowski,pkozlowski-opensource,2015-09-17T14:24:53.641Z,angular/angular,1498
Yuki K,sumigoma,2015-09-17T20:21:26.389Z,angular/angular,3838
Eric Martinez,ericmartinezr,2015-09-18T19:39:11.657Z,angular/angular,3969
Eric M. Dantas,ericmdantas,2015-09-20T00:49:05.869Z,angular/angular,4149
Eric Martinez,ericmartinezr,2015-09-20T19:06:28.237Z,angular/angular,4112
Eric Martinez,ericmartinezr,2015-09-21T13:24:44.477Z,angular/angular,2216
Yang Lin,todoubaba,2015-09-23T15:01:23.061Z,angular/angular,4330
Alexey Podskrebyshev,alexpods,2015-09-23T20:14:06.976Z,angular/angular,3689
Eric Martinez,ericmartinezr,2015-09-25T12:46:37.037Z,angular/angular,4355
Eric Martinez,ericmartinezr,2015-09-25T18:52:53.405Z,angular/angular,4363
Eric Martinez,ericmartinezr,2015-09-25T22:22:21.143Z,angular/angular,3701
Jesse Good,jessegood,2015-09-27T07:51:23.232Z,angular/angular,3398
Jesse Good,jessegood,2015-09-27T08:29:15.331Z,angular/angular,3082
Jesse Good,jessegood,2015-09-27T08:29:15.331Z,angular/angular,3824
Thanh Truong,thanhtruong0315,2015-09-27T16:14:32.625Z,angular/angular,4380
Eric Martinez,ericmartinezr,2015-09-27T20:35:14.982Z,angular/angular,4288
Eric Martinez,ericmartinezr,2015-09-27T20:53:39.957Z,angular/angular,2683
Yaniv Efraim,yanivefraim,2015-09-28T13:49:37.858Z,angular/angular,2961
Jesse Good,jessegood,2015-09-29T21:55:19.539Z,angular/angular,1489
Eric Martinez,ericmartinezr,2015-09-30T23:13:03.043Z,angular/angular,4435
Daniel Comas Fernández,danicomas,2015-10-01T13:57:35.824Z,angular/angular,4393
Rob Wormald,robwormald,2015-10-01T18:19:49.429Z,angular/angular,3605
Eric Martinez,ericmartinezr,2015-10-01T22:29:38.472Z,angular/angular,4452
choeller,choeller,2015-10-02T07:39:24.287Z,angular/angular,4435
Rob Wormald,robwormald,2015-10-02T23:40:44.256Z,angular/angular,4475
Jesse Good,jessegood,2015-10-02T23:56:35.528Z,angular/angular,4482
Pascal Precht,PascalPrecht,2015-10-03T07:38:41.188Z,angular/angular,4318
Eric Martinez,ericmartinezr,2015-10-03T13:51:18.463Z,angular/angular,4288
Eric Martinez,ericmartinezr,2015-10-03T15:25:15.575Z,angular/angular,4496
Eric Martinez,ericmartinezr,2015-10-03T19:05:28.492Z,angular/angular,4002
Eduardo Born,nosachamos,2015-10-04T22:37:35.625Z,angular/angular,1655
Eric M. Dantas,ericmdantas,2015-10-05T15:27:13.145Z,angular/angular,4521
Eric Martinez,ericmartinezr,2015-10-05T15:43:20.956Z,angular/angular,4521
Eric Martinez,ericmartinezr,2015-10-05T15:48:02.024Z,angular/angular,4496
Rob Wormald,robwormald,2015-10-05T18:42:29.837Z,angular/angular,4062
Colin McCulloch,Zyzle,2015-10-06T13:11:36.701Z,angular/angular,3536
Jesse Good,jessegood,2015-10-07T02:17:45.066Z,angular/angular,4566
Jesse Good,jessegood,2015-10-07T02:42:58.753Z,angular/angular,4566
Alexey Podskrebyshev,alexpods,2015-10-07T02:43:42.624Z,angular/angular,596
Eric M. Dantas,ericmdantas,2015-10-07T11:13:57.134Z,angular/angular,4389
matthiasg,matthiasg,2015-10-07T11:19:09.207Z,angular/angular,4389
Tiago Braga,tbragaf,2015-10-07T13:38:59.981Z,angular/angular,4551
Colin McCulloch,Zyzle,2015-10-07T18:44:02.320Z,angular/angular,4246
Eric Martinez,ericmartinezr,2015-10-07T21:36:53.369Z,angular/angular,4435
Daniel Comas Fernández,danicomas,2015-10-08T08:08:49.172Z,angular/angular,4608
Jesse Good,jessegood,2015-10-08T12:06:10.529Z,angular/angular,4002
Eric Martinez,ericmartinezr,2015-10-08T15:11:52.177Z,angular/angular,4216
Jesse Good,jessegood,2015-10-08T15:42:20.405Z,angular/angular,4497
Pawel Kozlowski,pkozlowski-opensource,2015-10-09T07:57:44.939Z,angular/angular,4616
Jesse Good,jessegood,2015-10-09T08:17:26.245Z,angular/angular,4416
Yang Lin,todoubaba,2015-10-10T18:58:55.455Z,angular/angular,4404
Colin McCulloch,Zyzle,2015-10-13T13:48:32.133Z,angular/angular,4246
Eric Martinez,ericmartinezr,2015-10-13T18:42:18.133Z,angular/angular,4612
Eric Martinez,ericmartinezr,2015-10-13T20:25:34.212Z,angular/angular,4588
Jesse Good,jessegood,2015-10-13T20:48:15.315Z,angular/angular,4658
Jesse Good,jessegood,2015-10-13T21:42:29.788Z,angular/angular,4658
Brandon,brandonroberts,2015-10-14T12:04:13.457Z,angular/angular,4055
Brandon,brandonroberts,2015-10-14T12:04:40.023Z,angular/angular,2965
Eric Martinez,ericmartinezr,2015-10-14T12:59:42.246Z,angular/angular,4516
Jesse Good,jessegood,2015-10-14T21:21:32.299Z,angular/angular,4737
Eric Martinez,ericmartinezr,2015-10-14T22:34:55.959Z,angular/angular,4566
Eric Martinez,ericmartinezr,2015-10-14T22:38:49.222Z,angular/angular,596
Eric Martinez,ericmartinezr,2015-10-14T22:38:49.222Z,angular/angular,629
theFifthElf,theFifthElf,2015-10-15T15:35:33.684Z,angular/angular,4350
Eric Martinez,ericmartinezr,2015-10-16T01:11:19.048Z,angular/angular,4525
Jesse Good,jessegood,2015-10-17T22:28:35.841Z,angular/angular,3917
Eric Martinez,ericmartinezr,2015-10-20T12:35:20.278Z,angular/angular,4131
Eric Martinez,ericmartinezr,2015-10-20T14:07:02.381Z,angular/angular,3670
Eric Martinez,ericmartinezr,2015-10-20T14:31:58.260Z,angular/angular,4598
Eric Martinez,ericmartinezr,2015-10-20T21:16:29.786Z,angular/angular,4841
Jesse Good,jessegood,2015-10-20T21:45:08.620Z,angular/angular,4834
Jesse Good,jessegood,2015-10-21T12:45:36.239Z,angular/angular,4733
Eric Martinez,ericmartinezr,2015-10-22T14:13:44.352Z,angular/angular,4604
NightkingCH,NightkingCH,2015-10-23T10:25:45.050Z,angular/angular,4704
Rob Wormald,robwormald,2015-10-24T17:56:43.628Z,angular/angular,4062
William Falk-Wallace,wfalkwallace,2015-10-26T08:50:43.780Z,angular/angular,4506
Jesse Good,jessegood,2015-10-26T09:22:02.039Z,angular/angular,2340
Eric Martinez,ericmartinezr,2015-10-26T12:25:04.465Z,angular/angular,4588
choeller,choeller,2015-10-27T09:29:40.588Z,angular/angular,4933
Eric Martinez,ericmartinezr,2015-10-27T12:17:28.756Z,angular/angular,4917
Eric M. Dantas,ericmdantas,2015-10-27T12:25:54.622Z,angular/angular,2800
Eric Martinez,ericmartinezr,2015-10-27T12:28:16.602Z,angular/angular,2793
diadistis,diadistis,2015-10-27T13:01:29.462Z,angular/angular,4506
choeller,choeller,2015-10-27T19:14:29.270Z,angular/angular,4945
Rob Wormald,robwormald,2015-10-28T00:53:24.088Z,angular/angular,4815
Eric M. Dantas,ericmdantas,2015-10-28T01:08:08.195Z,angular/angular,4930
Rob Wormald,robwormald,2015-10-28T03:10:27.604Z,angular/angular,4893
diadistis,diadistis,2015-10-28T15:40:10.767Z,angular/angular,4821
Eric Martinez,ericmartinezr,2015-10-28T16:09:39.124Z,angular/angular,4716
Eric M. Dantas,ericmdantas,2015-10-29T12:02:01.467Z,angular/angular,4930
Eric Martinez,ericmartinezr,2015-10-29T15:24:33.108Z,angular/angular,4998
Yang Lin,todoubaba,2015-10-30T14:04:42.821Z,angular/angular,1159
Christopher Swasey,endash,2015-10-30T14:04:48.550Z,angular/angular,4506
Eric Martinez,ericmartinezr,2015-10-30T17:05:38.205Z,angular/angular,4893
choeller,choeller,2015-10-31T12:19:02.907Z,angular/angular,5040
Eric Martinez,ericmartinezr,2015-10-31T13:56:52.316Z,angular/angular,2683
