displayName,username,sent,repo,number
Jason Killian,JKillian,2015-12-10T16:22:05.831Z,Microsoft/TypeScript,5185
A,dizzyone,2015-12-16T09:17:13.088Z,Microsoft/TypeScript,2249
Daniel Rosenwasser,DanielRosenwasser,2015-12-18T22:17:32.362Z,Microsoft/TypeScript,4666
Dimitri Rosenberg,rosendi,2015-12-21T10:24:48.140Z,Microsoft/TypeScript,4890
Dimitri Rosenberg,rosendi,2015-12-21T10:24:48.140Z,Microsoft/TypeScript,2225
Daniel Rosenwasser,DanielRosenwasser,2015-12-22T22:50:01.726Z,Microsoft/TypeScript,4458
Gary Roberts,thegaryroberts,2015-12-27T12:32:34.641Z,Microsoft/TypeScript,2242
Corneliu,corneliutusnea,2015-12-29T07:38:29.328Z,Microsoft/TypeScript,2192
Jason Killian,JKillian,2016-01-04T22:05:19.316Z,Microsoft/TypeScript,5185
Daniel Rosenwasser,DanielRosenwasser,2016-01-05T17:51:23.211Z,Microsoft/TypeScript,5501
Jason Killian,JKillian,2016-01-08T15:30:50.878Z,Microsoft/TypeScript,6018
Jason Killian,JKillian,2016-01-11T18:05:03.729Z,Microsoft/TypeScript,5332
Ian Bytchek,ianbytchek,2016-01-14T08:25:56.597Z,Microsoft/TypeScript,3215
Ian Bytchek,ianbytchek,2016-01-14T08:32:46.493Z,Microsoft/TypeScript,3215
Tom Enden,tomenden,2016-01-16T10:29:58.679Z,Microsoft/TypeScript,5675
Popov Max,artaommahe,2016-01-19T23:31:58.885Z,Microsoft/TypeScript,5304
Popov Max,artaommahe,2016-01-19T23:42:43.773Z,Microsoft/TypeScript,5039
Bar Ziony,bartzy,2016-01-21T15:18:18.468Z,Microsoft/TypeScript,2242
Asad Saeeduddin,masaeedu,2016-01-25T20:56:27.802Z,Microsoft/TypeScript,3507
Asad Saeeduddin,masaeedu,2016-01-25T20:57:35.276Z,Microsoft/TypeScript,592
Asad Saeeduddin,masaeedu,2016-01-25T21:41:41.064Z,Microsoft/TypeScript,6080
Mike Stay,metaweta,2016-01-25T21:53:10.115Z,Microsoft/TypeScript,3866
Remko de Jong,aggenebbisj,2016-01-26T19:43:59.407Z,Microsoft/TypeScript,3150
Jason Killian,JKillian,2016-01-26T20:59:30.274Z,Microsoft/TypeScript,5595
Tiago Rodrigues,trodrigues,2016-01-28T09:30:40.061Z,Microsoft/TypeScript,247
Bar Ziony,bartzy,2016-01-31T14:23:28.214Z,Microsoft/TypeScript,2242
Tom Enden,tomenden,2016-01-31T17:14:09.600Z,Microsoft/TypeScript,5285
Axel D.,SetTrend,2016-02-02T14:56:10.407Z,Microsoft/TypeScript,6838
Cy Brown,cybrown,2016-02-07T17:39:04.844Z,Microsoft/TypeScript,1007
Vladimir Zotov,rgripper,2016-02-08T12:24:23.326Z,Microsoft/TypeScript,6958
Dante Castillo Dubón,dantedubon,2016-02-11T22:50:43.498Z,Microsoft/TypeScript,6615
Attila Egyed,tsm91,2016-02-23T15:03:37.090Z,Microsoft/TypeScript,5039
Jason Killian,JKillian,2016-02-23T20:27:49.812Z,Microsoft/TypeScript,5039
Gabriel Halle,ghalle,2016-02-23T20:56:19.067Z,Microsoft/TypeScript,4881
Gabriel Halle,ghalle,2016-02-23T21:22:30.212Z,Microsoft/TypeScript,4881
Gabriel Halle,ghalle,2016-02-23T21:29:27.348Z,Microsoft/TypeScript,4881
Ville Vainio,vivainio,2016-02-24T15:38:59.661Z,Microsoft/TypeScript,5090
MrAndMrsK,MrAndMrsK,2016-02-24T19:22:37.466Z,Microsoft/TypeScript,6974
Oisin Grehan,oising,2016-02-29T21:07:09.138Z,Microsoft/TypeScript,7204
Sean,seanzer,2016-03-01T22:26:03.776Z,Microsoft/TypeScript,486
Craig Nishina,cnishina,2016-03-02T00:39:11.582Z,Microsoft/TypeScript,7330
Craig Nishina,cnishina,2016-03-02T01:54:30.207Z,Microsoft/TypeScript,7330
rborosak,rborosak,2016-03-02T11:00:42.006Z,Microsoft/TypeScript,1664
Tony Olsson,Souldrinker,2016-03-02T11:52:31.205Z,Microsoft/TypeScript,1564
Abouzar Kamaee,A-Kamaee,2016-03-03T22:56:39.667Z,Microsoft/TypeScript,2341
Jeff,Jefftopia,2016-03-04T16:10:10.102Z,Microsoft/TypeScript,6012
Oisin Grehan,oising,2016-03-07T19:30:05.826Z,Microsoft/TypeScript,7204
Abouzar Kamaee,A-Kamaee,2016-03-07T22:53:56.640Z,Microsoft/TypeScript,7233
Baloodevil,baloodevil,2016-03-08T15:47:21.714Z,Microsoft/TypeScript,7233
David Driscoll,david-driscoll,2016-03-08T21:22:40.236Z,Microsoft/TypeScript,5695
Daniel Rosenwasser,DanielRosenwasser,2016-03-09T00:12:50.914Z,Microsoft/TypeScript,7148
Daniel Rosenwasser,DanielRosenwasser,2016-03-09T00:13:36.261Z,Microsoft/TypeScript,7130
Ville Vainio,vivainio,2016-03-09T19:03:30.159Z,Microsoft/TypeScript,5090
Damon Casale,damoncasale,2016-03-10T00:43:59.667Z,Microsoft/TypeScript,4612
Jari Pennanen,Ciantic,2016-03-14T12:39:58.688Z,Microsoft/TypeScript,6627
Dave Ackerman,dmackerman,2016-03-14T22:51:57.150Z,Microsoft/TypeScript,5039
Andrew Nambudripad,xornand,2016-03-15T20:46:04.364Z,Microsoft/TypeScript,6725
Benjamin Flowers,bflow,2016-03-17T06:27:52.420Z,Microsoft/TypeScript,6541
Benjamin Otto,otbe,2016-03-17T14:43:21.740Z,Microsoft/TypeScript,7426
Oisin Grehan,oising,2016-03-22T20:39:01.070Z,Microsoft/TypeScript,2338
Jason Swearingen,jasonswearingen,2016-03-25T16:46:37.002Z,Microsoft/TypeScript,5156
mikle111,mikle111,2016-03-27T21:52:02.419Z,Microsoft/TypeScript,339
Yuriy Yazlovytskyy,yazla,2016-03-28T15:47:25.306Z,Microsoft/TypeScript,7566
KamelJabber,KamelJabber,2016-03-31T11:45:24.287Z,Microsoft/TypeScript,5039
Jari Pennanen,Ciantic,2016-04-09T11:43:16.769Z,Microsoft/TypeScript,7984
Brandon Ramsey,brandonramsey,2016-04-09T17:34:08.547Z,Microsoft/TypeScript,4889
Jason Killian,JKillian,2016-04-11T19:40:07.669Z,Microsoft/TypeScript,7619
Jason Killian,JKillian,2016-04-14T19:39:32.746Z,Microsoft/TypeScript,7125
Stabzs,Stabzs,2016-04-20T04:36:12.078Z,Microsoft/TypeScript,6532
George Nemes,wanderer06,2016-04-20T15:55:34.924Z,Microsoft/TypeScript,1927
George Nemes,wanderer06,2016-04-20T16:39:22.535Z,Microsoft/TypeScript,6118
George Nemes,wanderer06,2016-04-20T16:50:56.862Z,Microsoft/TypeScript,1373
George Nemes,wanderer06,2016-04-20T16:55:18.183Z,Microsoft/TypeScript,6118
Chris Schreiner,chrisschreiner,2016-04-20T21:11:23.782Z,Microsoft/TypeScript,4590
George Nemes,wanderer06,2016-04-21T10:14:31.431Z,Microsoft/TypeScript,2709
Andrei Nemes,simplysh,2016-04-21T13:49:34.640Z,Microsoft/TypeScript,2103
Herrington Darkholme,HerringtonDarkholme,2016-04-27T12:37:03.934Z,Microsoft/TypeScript,6894
David Driscoll,david-driscoll,2016-04-27T18:12:39.365Z,Microsoft/TypeScript,7140
Chris Chilvers,chilversc,2016-04-29T15:39:57.179Z,Microsoft/TypeScript,2521
Sebastien Dubois,dsebastien,2016-05-03T19:59:45.886Z,Microsoft/TypeScript,5039
Stefan Sinapov,StefanSinapov,2016-05-10T07:26:48.002Z,Microsoft/TypeScript,8113
Matt Mazzola,mattmazzola,2016-05-11T00:35:58.702Z,Microsoft/TypeScript,3322
con-ssc,con-ssc,2016-05-11T10:36:41.149Z,Microsoft/TypeScript,8112
Xananax,Xananax,2016-05-13T10:12:11.184Z,Microsoft/TypeScript,1360
Daniel Rosenwasser,DanielRosenwasser,2016-05-17T00:02:34.149Z,Microsoft/TypeScript,4971
George Nemes,wanderer06,2016-05-18T14:53:53.195Z,Microsoft/TypeScript,2869
George Nemes,wanderer06,2016-05-19T14:58:15.075Z,Microsoft/TypeScript,842
George Nemes,wanderer06,2016-05-19T16:22:45.051Z,Microsoft/TypeScript,1373
George Nemes,wanderer06,2016-05-19T16:24:05.397Z,Microsoft/TypeScript,6118
electricessence,electricessence,2016-05-19T20:35:10.311Z,Microsoft/TypeScript,8701
electricessence,electricessence,2016-05-19T21:34:55.416Z,Microsoft/TypeScript,8695
electricessence,electricessence,2016-05-19T21:36:12.245Z,Microsoft/TypeScript,8701
Daniel Meza,danielmeza,2016-05-20T17:43:12.567Z,Microsoft/TypeScript,5611
Meirion Hughes,MeirionHughes,2016-05-28T20:49:05.025Z,Microsoft/TypeScript,2568
Meirion Hughes,MeirionHughes,2016-05-29T14:58:42.651Z,Microsoft/TypeScript,1544
Serhii Sol,serhiisol,2016-05-30T15:24:40.170Z,Microsoft/TypeScript,1564
Brendan Hannemann,unicron,2016-06-02T17:20:26.733Z,Microsoft/TypeScript,7247
Andrei Nemes,simplysh,2016-06-09T10:32:27.995Z,Microsoft/TypeScript,1564
Chris Chilvers,chilversc,2016-06-09T11:12:10.841Z,Microsoft/TypeScript,7481
Andrei Nemes,simplysh,2016-06-09T14:48:10.336Z,Microsoft/TypeScript,5683
Chris Chilvers,chilversc,2016-06-09T18:53:59.037Z,Microsoft/TypeScript,8910
George Nemes,wanderer06,2016-06-10T14:58:52.409Z,Microsoft/TypeScript,6118
electricessence,electricessence,2016-06-10T20:11:41.457Z,Microsoft/TypeScript,7932
electricessence,electricessence,2016-06-10T20:12:24.790Z,Microsoft/TypeScript,2076
Sean Larkin,TheLarkInn,2016-06-11T02:01:56.114Z,Microsoft/TypeScript,9042
debuuu,debuuu,2016-06-14T13:12:00.141Z,Microsoft/TypeScript,8476
Gerjan,GerjanOnline,2016-06-15T08:03:11.486Z,Microsoft/TypeScript,9163
Benjamin Otto,otbe,2016-06-15T09:05:04.624Z,Microsoft/TypeScript,9123
Andrei Nemes,simplysh,2016-06-17T18:06:49.465Z,Microsoft/TypeScript,6532
Jari Pennanen,Ciantic,2016-06-22T07:02:30.111Z,Microsoft/TypeScript,4889
Jari Pennanen,Ciantic,2016-06-22T07:23:47.649Z,Microsoft/TypeScript,4889
Kyle Needham,KyleNeedham,2016-06-28T18:58:01.773Z,Microsoft/TypeScript,5453
MCKRUZ,MCKRUZ,2016-06-28T20:57:53.170Z,Microsoft/TypeScript,9398
Pavel Frankov,pfrankov,2016-06-28T21:34:35.526Z,Microsoft/TypeScript,1551
Pavel Frankov,pfrankov,2016-06-28T21:46:50.118Z,Microsoft/TypeScript,497
Sean Clayton,sean-clayton,2016-07-03T20:12:39.034Z,Microsoft/TypeScript,2103
"Meligy, GuruStop.NET",Meligy,2016-07-05T05:15:02.694Z,Microsoft/TypeScript,9512
Sudheesh Singanamalla,sudheesh001,2016-07-13T07:13:59.648Z,Microsoft/TypeScript,9658
Michał Miszczyszyn,mmiszy,2016-07-14T00:20:21.336Z,Microsoft/TypeScript,4910
