displayName,username,sent,repo,number
Seth Tisue,SethTisue,2018-03-17T20:53:23.240Z,scala/scala,6412
Seth Tisue,SethTisue,2018-03-22T02:23:40.426Z,scala/scala,6395
Matthias Sperl,m-sp,2018-03-25T15:58:21.743Z,scala/scala,6089
Harrison Houghton,hrhino,2018-03-25T20:15:46.264Z,scala/scala,6247
Ionuț G. Stan,igstan,2018-04-18T13:18:03.931Z,scala/scala,5246
Seth Tisue,SethTisue,2018-04-27T16:39:17.515Z,scala/scala,6275
eugene yokota,eed3si9n,2018-04-30T17:25:59.022Z,scala/scala,6446
Martijn Hoekstra,martijnhoekstra,2018-05-07T09:11:30.645Z,scala/scala,5350
Martijn Hoekstra,martijnhoekstra,2018-05-07T09:13:05.730Z,scala/scala,5339
Seth Tisue,SethTisue,2018-05-07T09:37:03.923Z,scala/scala,5350
som-snytt,som-snytt,2018-05-07T12:33:46.803Z,scala/scala,6589
Martijn Hoekstra,martijnhoekstra,2018-05-07T16:40:02.314Z,scala/scala,6589
Seth Tisue,SethTisue,2018-05-15T20:47:45.329Z,scala/scala,6630
Seth Tisue,SethTisue,2018-05-18T20:15:51.372Z,scala/scala,6500
Martijn Hoekstra,martijnhoekstra,2018-05-23T16:03:51.263Z,scala/scala,6582
Martijn Hoekstra,martijnhoekstra,2018-05-23T16:03:51.263Z,scala/scala,6580
Martijn Hoekstra,martijnhoekstra,2018-06-11T10:23:22.319Z,scala/scala,6767
Seth Tisue,SethTisue,2018-06-20T13:31:52.584Z,scala/scala,6703
Martijn Hoekstra,martijnhoekstra,2018-07-20T13:07:38.458Z,scala/scala,6955
Seth Tisue,SethTisue,2018-07-29T16:20:30.558Z,scala/scala,6767
Seth Tisue,SethTisue,2018-08-03T19:39:34.709Z,scala/scala,5294
Seth Tisue,SethTisue,2018-08-03T19:39:34.709Z,scala/scala,5374
Martijn Hoekstra,martijnhoekstra,2018-08-09T09:20:51.157Z,scala/scala,6764
Rob Norris,tpolecat,2018-08-10T18:31:30.199Z,scala/scala,5310
Harrison Houghton,hrhino,2018-08-13T13:30:46.042Z,scala/scala,6627
"Justin du Coeur, AKA Mark Waks",jducoeur,2018-08-23T14:14:57.017Z,scala/scala,6610
Joe Pallas,jpallas,2018-08-24T21:52:47.506Z,scala/scala,6505
Rob Norris,tpolecat,2018-09-05T18:17:19.694Z,scala/scala,5617
Matthias Sperl,m-sp,2018-09-25T19:43:51.258Z,scala/scala,6972
Ryan Williams,ryan-williams,2018-10-13T00:07:21.427Z,scala/scala,6479
Seth Tisue,SethTisue,2018-10-15T20:54:15.974Z,scala/scala,6745
som-snytt,som-snytt,2018-11-02T00:15:16.350Z,scala/scala,4554
Seth Tisue,SethTisue,2018-11-13T20:59:54.575Z,scala/scala,4929
Seth Tisue,SethTisue,2018-11-13T21:03:03.729Z,scala/scala,5617
Merlijn van Ittersum,merlijn,2018-12-06T15:58:13.699Z,scala/scala,4544
Seth Tisue,SethTisue,2018-12-06T19:39:30.077Z,scala/scala,6831
som-snytt,som-snytt,2018-12-10T21:54:25.880Z,scala/scala,7514
Edmondo Porcu,edmondo1984,2019-01-31T09:47:30.088Z,scala/scala,6972
Seth Tisue,SethTisue,2019-02-08T19:27:17.141Z,scala/scala,7660
som-snytt,som-snytt,2019-02-14T05:02:39.962Z,scala/scala,7724
som-snytt,som-snytt,2019-02-17T19:09:04.219Z,scala/scala,5391
Seth Tisue,SethTisue,2019-02-27T01:15:08.158Z,scala/scala,7712
Seth Tisue,SethTisue,2019-03-05T23:28:56.613Z,scala/scala,7817
Seth Tisue,SethTisue,2019-03-19T10:22:09.950Z,scala/scala,4216
som-snytt,som-snytt,2019-03-19T19:56:47.872Z,scala/scala,4372
zygfryd,zygfryd,2019-03-29T23:51:52.147Z,scala/scala,7743
Rob Norris,tpolecat,2019-04-09T18:29:21.901Z,scala/scala,6729
som-snytt,som-snytt,2019-04-10T16:39:02.321Z,scala/scala,4308
som-snytt,som-snytt,2019-04-10T16:39:02.321Z,scala/scala,4468
Martijn Hoekstra,martijnhoekstra,2019-04-12T21:37:37.612Z,scala/scala,7843
Dale Wijnand,dwijnand,2019-04-25T08:51:21.496Z,scala/scala,6989
Seth Tisue,SethTisue,2019-04-26T23:16:51.025Z,scala/scala,6589
Seth Tisue,SethTisue,2019-04-29T01:33:12.213Z,scala/scala,7615
Martijn Hoekstra,martijnhoekstra,2019-04-29T15:19:31.210Z,scala/scala,6589
Guillaume Martres,smarter,2019-04-29T18:41:04.528Z,scala/scala,8010
Seth Tisue,SethTisue,2019-05-07T17:42:01.208Z,scala/scala,7663
som-snytt,som-snytt,2019-05-19T02:39:13.996Z,scala/scala,8072
Gavin Bisesi,Daenyth,2019-05-23T15:47:13.786Z,scala/scala,7785
Seth Tisue,SethTisue,2019-06-05T16:02:15.980Z,scala/scala,7470
Seth Tisue,SethTisue,2019-06-05T16:02:15.980Z,scala/scala,7784
Seth Tisue,SethTisue,2019-06-05T16:02:57.723Z,scala/scala,6610
Seth Tisue,SethTisue,2019-06-18T22:25:26.929Z,scala/scala,3169
Adriaan Moors,adriaanm,2019-06-20T10:18:04.355Z,scala/scala,6589
João Ferreira,jtjeferreira,2019-07-17T14:49:32.236Z,scala/scala,6888
OlegYch,OlegYch,2019-07-26T21:25:48.074Z,scala/scala,7916
Seth Tisue,SethTisue,2019-08-04T21:10:50.757Z,scala/scala,2793
Seth Tisue,SethTisue,2019-08-13T18:27:29.990Z,scala/scala,7693
Jasper Moeys,Jasper-M,2019-08-16T15:59:19.912Z,scala/scala,7702
Martijn Hoekstra,martijnhoekstra,2019-08-27T14:53:07.472Z,scala/scala,8377
Martijn Hoekstra,martijnhoekstra,2019-09-03T08:57:21.550Z,scala/scala,7728
Martijn Hoekstra,martijnhoekstra,2019-09-11T11:27:22.694Z,scala/scala,8315
Seth Tisue,SethTisue,2019-09-11T14:06:11.495Z,scala/scala,2793
Ryan Peters,sloshy,2019-09-11T14:06:45.106Z,scala/scala,8313
Seth Tisue,SethTisue,2019-09-17T23:17:11.729Z,scala/scala,7111
Luis Miguel Mejía Suárez,BalmungSan,2019-09-18T00:27:00.091Z,scala/scala,5876
Katrix,Katrix,2019-10-07T17:12:44.421Z,scala/scala,6340
Martijn Hoekstra,martijnhoekstra,2019-11-04T14:49:39.117Z,scala/scala,8373
