"issue_number","resolution_time"
35411,1.39027777777778
35403,0.610833333333333
35401,0.116666666666667
35393,1.94638888888889
35391,6.12527777777778
35384,2.82694444444444
35379,19.7197222222222
35377,20.6513888888889
35376,24.5527777777778
35373,23.4711111111111
35369,0.046111111111111
35368,22.1011111111111
35367,26.3241666666667
35366,22.4547222222222
35360,31.4186111111111
35358,1.34527777777778
35357,20.3252777777778
35355,14.2861111111111
35345,47.74
35344,48.0425
35342,48.5797222222222
35337,1.59222222222222
35335,48.2352777777778
35332,5.69361111111111
35330,0.086388888888889
35328,53.4875
35326,55.2794444444444
35325,17.4672222222222
35324,64.8127777777778
35323,0.053055555555556
35321,5.24888888888889
35320,70.635
35317,41.4125
35311,56.3266666666667
35309,41.4688888888889
35308,62.7736111111111
35306,69.0088888888889
35305,0.583333333333333
35304,69.6972222222222
35303,0.727777777777778
35302,70.6075
35301,0.439722222222222
35299,69.5047222222222
35297,74.6019444444444
35295,3.63444444444444
35294,1.01111111111111
35293,6.13111111111111
35290,0.387777777777778
35287,85.41
35283,20.4516666666667
35281,93.2577777777778
35280,16.3727777777778
35279,0.671666666666667
35277,0.384444444444444
35276,0.026111111111111
35275,0.076666666666667
35274,19.8775
35273,17.2447222222222
35272,0.658055555555556
35271,0.096111111111111
35270,1.80305555555556
35267,6.09611111111111
35266,30.3455555555556
35265,1.79166666666667
35264,79.1561111111111
35263,35.9025
35262,35.6230555555556
35261,18.3580555555556
35259,107.282777777778
35256,103.281388888889
35255,18.5333333333333
35254,46.6013888888889
35252,24.4247222222222
35251,0.528888888888889
35249,25.1341666666667
35246,115.166388888889
35245,25.6
35244,21.5355555555556
35243,23.4141666666667
35242,52.0958333333333
35241,51.8263888888889
35240,2.41888888888889
35239,50.3502777777778
35238,1.24416666666667
35237,43.9605555555556
35236,47.6158333333333
35235,18.2113888888889
35234,5.6175
35231,18.69
35229,48.5483333333333
35227,153.718333333333
35226,176.005
35224,116.472777777778
35223,198.384444444444
35218,18.4263888888889
35217,10.8347222222222
35215,69.2725
35213,20.0341666666667
35211,0.001944444444444
35209,20.9405555555556
35208,68.0794444444444
35207,2.10916666666667
35205,147.168611111111
35203,53.5708333333333
