issue_number,resolution_time
528,11.0
529,0.0
530,2219.0
531,1893.0
532,0.0
534,3.0
535,4509.0
536,3.0
537,14.0
538,7.0
539,111.0
540,NA
541,19.0
542,0.0
543,0.0
544,0.0
545,18.0
546,8.0
547,1.0
548,2.0
549,18.0
550,6.0
551,6.0
552,1.0
553,2.0
554,1.0
555,4.0
556,59.0
557,5449.0
558,6.0
559,10.0
560,2.0
561,6.0
562,6.0
563,859.0
564,39.0
565,2.0
566,1436.0
567,230.0
568,62.0
569,1.0
570,2.0
571,4.0
572,13.0
573,0.0
574,15317.0
575,181.0
576,4.0
577,1355.0
578,0.0
579,2.0
580,2.0
581,15.0
582,8.0
583,2.0
584,4007.0
585,1.0
586,0.0
587,34.0
588,8.0
589,8.0
590,1.0
591,5968.0
592,2674.0
593,23.0
594,1.0
595,1.0
596,3510.0
597,1.0
598,2.0
599,1.0
600,0.0
601,353.0
602,9.0
603,1.0
604,0.0
605,2.0
606,3.0
607,59.0
608,37.0
609,7.0
610,0.0
611,0.0
612,0.0
613,3198.0
614,8.0
615,681.0
616,14611.0
617,0.0
618,10.0
619,16.0
620,3.0
621,1.0
622,1.0
623,2.0
624,0.0
625,15.0
626,22.0
627,464.0
628,464.0
629,761.0
630,0.0
631,0.0
632,270.0
633,11.0
634,237.0
635,163.0
636,2080.0
637,0.0
638,1.0
639,1.0
640,4.0
641,4.0
642,1.0
643,0.0
644,0.0
645,16.0
646,14036.0
647,0.0
648,0.0
649,2477.0
650,0.0
651,9463.0
652,4001.0
653,2.0
654,3.0
655,1.0
656,0.0
657,0.0
658,0.0
659,0.0
660,2818.0
661,1.0
662,856.0
663,1844.0
664,3934.0
665,4.0
666,31.0
667,9.0
668,17.0
669,153.0
670,0.0
671,0.0
672,2293.0
673,2.0
674,0.0
675,68.0
676,1.0
677,1.0
678,670.0
679,3719.0
680,15.0
681,0.0
682,0.0
683,45.0
684,8.0
685,41.0
686,1586.0
687,3590.0
688,0.0
689,1312.0
690,14.0
691,29.0
692,1.0
693,1.0
694,7.0
695,1394.0
696,0.0
697,4.0
698,0.0
699,72.0
700,27.0
701,0.0
702,4.0
703,0.0
704,139.0
705,1115.0
706,2.0
707,1011.0
708,3.0
709,2.0
710,989.0
711,984.0
712,7.0
713,383.0
714,660.0
715,120.0
716,16.0
717,4.0
718,0.0
719,1.0
720,15.0
721,33.0
722,1.0
723,321.0
724,361.0
725,2.0
726,0.0
727,6.0
728,9.0
729,632.0
730,0.0
731,2.0
732,3923.0
733,0.0
734,7.0
735,20.0
736,673.0
737,0.0
738,0.0
739,0.0
740,621.0
741,3.0
