issue_number,resolution_time
526,425.0
527,0.0
528,0.0
529,1.0
530,0.0
531,0.0
532,0.0
533,79.0
534,567.0
535,395.0
536,112.0
537,29.0
538,22.0
539,0.0
540,1.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,17.0
547,35.0
548,2490.0
549,20.0
550,5.0
551,13.0
552,2.0
553,2.0
554,1.0
555,0.0
556,0.0
557,4.0
558,2.0
559,0.0
560,9.0
561,10.0
562,6.0
563,87.0
564,3.0
565,68.0
566,565.0
567,188.0
568,73.0
569,764.0
570,72.0
571,72.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,121.0
578,67.0
579,7.0
580,6.0
581,1.0
582,10.0
583,6.0
584,11.0
585,0.0
586,13.0
587,0.0
588,1.0
589,1.0
590,0.0
591,19.0
592,19.0
593,44.0
594,0.0
595,36.0
596,0.0
597,96.0
598,0.0
599,0.0
600,5.0
601,11.0
602,0.0
603,1.0
604,50.0
605,12.0
606,1.0
607,5855.0
608,14.0
609,1.0
610,5838.0
611,0.0
612,5838.0
613,35.0
614,0.0
615,0.0
616,177.0
617,393.0
618,6.0
619,0.0
620,6.0
621,6.0
622,0.0
623,2676.0
624,129.0
625,1.0
626,25.0
627,2.0
628,1.0
629,263.0
630,1.0
631,261.0
632,0.0
633,69.0
634,0.0
635,6065.0
636,85.0
637,27.0
638,1.0
639,499.0
640,120.0
641,30.0
642,66.0
643,27.0
644,0.0
645,477.0
646,108.0
647,25.0
648,30.0
649,16.0
650,13456.0
651,6719.0
652,1.0
653,1.0
654,5612.0
655,371.0
656,29.0
657,0.0
658,4.0
659,159.0
660,15.0
661,28.0
662,1.0
663,11.0
664,0.0
665,0.0
666,0.0
667,7.0
668,0.0
669,0.0
670,5788.0
671,241.0
672,55.0
673,0.0
674,1.0
675,0.0
676,6554.0
677,0.0
678,9.0
679,5724.0
680,6293.0
681,2.0
682,19.0
683,18.0
684,189.0
685,117.0
686,191.0
687,233.0
688,11.0
689,5.0
690,31.0
691,78.0
692,0.0
693,21.0
694,5.0
695,4.0
696,0.0
697,0.0
698,0.0
699,1724.0
700,22984.0
701,0.0
702,0.0
703,0.0
704,5.0
705,1.0
706,39.0
707,5577.0
708,1.0
709,2.0
710,5266.0
711,0.0
712,300.0
713,25.0
714,2509.0
715,0.0
716,5237.0
717,2575.0
718,2.0
719,969.0
720,3963.0
721,0.0
722,10.0
723,10418.0
724,5586.0
725,1776.0
726,0.0
727,20951.0
728,0.0
729,0.0
730,0.0
731,8.0
732,4.0
733,2776.0
734,823.0
735,0.0
736,12.0
737,0.0
738,22.0
739,25.0
740,4987.0
741,5249.0
742,187.0
743,238.0
744,0.0
745,0.0
746,4951.0
747,22602.0
748,0.0
749,1.0
750,0.0
751,0.0
752,5182.0
753,4910.0
754,598.0
755,0.0
756,4890.0
757,52.0
758,11.0
759,1.0
760,5084.0
761,0.0
762,0.0
763,0.0
764,1.0
765,5011.0
766,22400.0
767,11928.0
768,5790.0
769,458.0
770,458.0
771,5294.0
772,21.0
773,0.0
774,43.0
775,3.0
776,0.0
777,1.0
778,2.0
779,0.0
780,457.0
781,1252.0
782,40.0
783,0.0
784,0.0
785,784.0
786,667.0
787,9620.0
788,807.0
789,0.0
790,9602.0
791,800.0
792,0.0
793,1.0
794,2.0
795,2.0
796,0.0
797,0.0
798,43.0
799,0.0
800,0.0
801,2415.0
802,102.0
803,376.0
804,735.0
805,0.0
806,0.0
807,19.0
808,9484.0
809,3.0
810,60.0
811,0.0
812,2.0
813,215.0
814,0.0
815,0.0
816,37.0
817,4484.0
818,4232.0
819,0.0
820,0.0
821,603.0
