Issue#,
621,gitter activity
204,
793,state of issue
74,project plan
802,technical
361,technical
1152,technical
1275,technical
1321,
1324,PR
1336,PR
1340,
1662,gitter activity
1677,project plan
1655,
1717,gitter activity
1730,technical
1755,not clear
1839,contribution 
1845,
1289,
1730,
2032,working on issue
