Issue#,,
331,,
391,,
381,state of issue,
576,,
581,,
599,,
434,,
434,,
635,,
635,,
645,gitter activity ,
138,,
205,,
691,,
428,technical,
718,,
273,,
735,,
583,,
356,,
356,,
748,,
235,state of issue,
459,,
459,,
564,,
784,,
791,,
748,,
810,need feedback,
789,,
820,,
852,,
843,,
748,,
808,working on thiss,
810,,
861,,
532,,
885,,
827,,
901,PR,
532,,
916,,
934,,
602,,
947,,
950,,
951,,
945,,
951,,
356,,
983,,
987,,
988,,
791,,
215,,
1106,,
1106,,
1109,gitter activity ,
1025,,
1025,,
1106,,
1173,,
1180,,
1195,,
1196,,
1163,,
810,,
819,,
1135,,
1221,technical,
194,,
988,,
459,,
684,technical,
1221,state of issue,
1221,,
491,,
1222,,
1126,,
564,,
1260,,
1195,,
1250,,
1274,,
224,,
1282,,
152,,
1195,,
1250,,
1313,,
1313,,
459,,
859,,
1313,,
1313,,
1282,,
1365,,
1375,,
1377,,
354,,
1383,,
123,,
1396,,
1121,,
1423,,
1043,,
1414,,
1247,,
1426,,
1426,,
1043,,
1467,,
1316,,
1515,,
1396,,
1528,,
1324,,
1545,,
1548,,
1528,,
1528,,
1528,,
1488,,
273,technical,
1565,,
409,,
1573,,
1582,,
1528,,
1528,,
1297,,
1596,,
1297,,
551,,
1625,,
1625,,
1528,,
1528,,
1547,,
1413,,
1643,,
1168,,
1686,,
324,,
1712,,
1683,,
1674,,
1739,,
1747,,
1747,,
1292,,
1407,,
1043,,
1774,,
1247,,
1778,,
1779,,
478,,
1645,,
1794,,
1794,,
1643,,
1794,,
1195,,
1672,,
1815,,
1820,,
1791,need suggestion,
1643,,
1796,,
582,,
1842,,
331,,
1849,,
1855,,
1658,,
1089,,
1870,,
1855,,
1879,,
1896,,
1893,,
1841,,
1553,,
269,,
1913,,
1928,,
1928,,
1928,,
486,,
1935,,
1893,,
1937,,
969,,
748,,
1955,,
1309,,
1978,,
1146,,
1933,,
1089,,
1803,,
2027,,
386,,
2024,,
1946,,
2038,,
1255,,
240,,
2042,,
1993,,
2043,,
2048,,
2042,,
2048,,
686,,
1435,,
1344,,
2067,,
2067,,
2057,,
2048,,
628,,
628,,
2048,,
1043,,
1879,,
1418,,
1309,,
1912,,
1658,,
465,,
390,,
1145,,
2076,,
2142,,
1958,,
1188,,
2158,,
354,,
2048,,
2182,,
1946,,
1946,,
1758,,
2124,,
2138,,
2201,,
2173,,
2175,,
2185,,
269,,
2234,,
2239,,
486,,
2241,,
224,,
1653,,
1000,,
1000,,
2252,,
2226,,
2138,,
2076,,
2265,,
2265,,
1796,,
2241,,
1921,,
2275,,
2082,,
2262,,
2293,,
2262,,
2262,,
2262,,
2262,,
2262,,
2298,,
2155,,
2299,,
2262,,
2060,,
2314,,
1992,,
2314,,
2311,,
273,,
2262,,
2342,,
269,,
2357,,
465,,
1886,,
2403,,
2403,,
1695,,
993,,
1695,,
2150,,
2406,,
2415,,
2432,,
1962,,
1811,,
2387,,
945,,
955,,
2456,,
2458,,
2159,,
2458,,
2468,,
2470,,
1247,,
228,,
2483,,
2495,,
2495,,
1274,,
1093,,
2140,,
123,,
2506,,
2370,,
2494,,
2494,,
2508,,
2494,,
2497,,
2497,,
