Issue#,,,,
525,,,,
875,,,,
701,,,,
26,require contribution,,,
1040,,,,
937,,,,
1039,,,,
1185,PR,,,
1168,,,,
1342,,,,
1063,,,,
1430,,,,
973,,,,
957,,,,
1017,Gitter activity,issue comments,,
1553,,,,
921,,,,
1576,,,,
449,,,,
1620,,,,
1621,PR,,,
1619,,,,
194,,,,
1856,,,,
312,,,,
2022,,,,
1690,technical help,,,
2056,,,,
2056,,,,
2068,,,,
2177,,,,
2182,,,,
770,,,,
1272,,,,
2482,,,,
2645,,,,
1563,state of project,project planning and updates,,
489,state of project,project planning and updates,,
2584,,,,
3778,,,,
1308,,,,
4878,,,,
4690,,,,
2949,,,,
6546,,,,
6702,,,,
6742,,,,
2576,,,,
6883,state of issue,worked on issue,,
4476,,,,
7949,,,,
8146,,,,
7518,,,,
10666,,,,
14164,,,,
15111,,,,
11100,information and project planning,,project planning and updates,
17619,Information and project planning,,project planning and updates,
17278,,,,
13892,,,,
18454,,,,
17619,,,,
19152,Gitter activity,opened,,
12426,,,,
9003,,,,
21281,,,,
22485,,,,
22485,,,,
23055,,,,
23055,,,,
23443,,,,
23448,,,,
21518,,,,
17126,,,,
24026,,,,
2089,,,,
18791,,,,
24475,,,,
24153,,,,
22970,,,,
24174,,,,
22381,,,,
23827,,,,
25128,,,,
2576,,,,
6073,,,,
12065,,,,
25785,,,,
17045,,,,
4491,,,,
26579,,,,
2252,,,,
25945,,,,
6746,,,,
2800,,,,
22101,,,,
27380,,,,
25739,,,,
28114,,,,
28356,,,,
28914,,,,
27971,,,,
24579,,,,
29232,,,,
16010,,,,
29396,,,,
6073,,,,
14507,,,,
4491,,,,
29243,,,,
27047,,,,
29586,,,,
2775,,,,
28270,,,,
11264,,,,
30506,,,,
18276,,,,
27445,,,,
31044,,,,
30897,,,,
28123,,,,
31002,,,,
31099,,,,
31425,,,,
31475,,,,
30503,,,,
18276,,,,
31651,,,,
31736,,,,
31856,,,,
31953,,,,
32000,,,,
32000,,,,
2800,,,,
32078,,,,
32123,,,,
32123,,,,
30968,,,,
26745,,,,
30913,,,,
15957,,,,
29026,,,,
32640,,,,
26975,,,,
32588,,,,
32931,,,,
32859,,,,
32907,,,,
32668,,,,
33170,,,,
33146,,,,
10366,,,,
33702,,,,
32811,,,,
32811,,,,
34184,,,,
34234,,,,
34179,,,,
34193,,,,
34246,,,,
34193,,,,
34193,,,,
34393,,,,
13439,,,,
34857,,,,
32730,,,,
34193,,,,
30730,,,,
34258,,,,
35395,,,,
34179,,,,
35363,,,,
33393,,,,
35050,,,,
27445,,,,
31787,,,,
23727,,,,
29729,,,,
34412,,,,
10451,,,,
32902,,,,
36015,,,,
36055,,,,
20414,,,,
32036,,,,
24093,,,,
36735,,,,
36899,,,,
23426,,,,
36678,technical help,,,
36948,,,,
15708,,,,
36049,,,,
4491,,,,
27091,,,,
38675,,,,
33336,,,,
11100,,,,
36538,,,,
39481,,,,
31181,,,,
39689,,,,
37044,,,,
40351,,,,
5118,,,,
40351,Gitter activity,,,
40374,,,,
39001,,,,
40405,,,,
27445,,,,
40570,,,,
40618,state of issue,,,
40947,,,,
35694,,,,
41346,,,,
38271,,,,
37241,,,,
40846,Changes in project state,project planning and updates,,future plans
